t_us,t_ms_from_toggle,rawDiff,diffV
2,-0.5030,2,0.004000
307,-0.1980,0,0.000000
612,0.1070,531,1.062000
917,0.4120,731,1.462000
1222,0.7170,492,0.984000
1527,1.0220,351,0.702000
1832,1.3270,262,0.524000
2137,1.6320,208,0.416000
2442,1.9370,171,0.342000
2747,2.2420,145,0.290000
3052,2.5470,125,0.250000
3357,2.8520,109,0.218000
3662,3.1570,98,0.196000
3967,3.4620,88,0.176000
4272,3.7670,82,0.164000
4577,4.0720,77,0.154000
4882,4.3770,72,0.144000
