t_us,t_ms_from_toggle,rawDiff,diffV
3,-0.4990,1,0.002000
308,-0.1940,2,0.004000
613,0.1110,491,0.982000
918,0.4160,526,1.052000
1223,0.7210,274,0.548000
1528,1.0260,171,0.342000
1833,1.3310,117,0.234000
2138,1.6360,85,0.170000
2443,1.9410,65,0.130000
2748,2.2460,53,0.106000
3053,2.5510,45,0.090000
3358,2.8560,40,0.080000
3663,3.1610,37,0.074000
3968,3.4660,35,0.070000
4273,3.7710,34,0.068000
4578,4.0760,34,0.068000
4883,4.3810,33,0.066000
