t_us,t_ms_from_toggle,rawDiff,diffV
0,-2.5740,-1,-0.002000
2569,-0.0050,295,0.590000
5072,2.4980,12,0.024000
7572,4.9980,8,0.016000
10070,7.4960,7,0.014000
12570,9.9960,8,0.016000
