t_us,t_ms_from_toggle,rawDiff,diffV
2,-0.5000,1,0.002000
307,-0.1950,1,0.002000
612,0.1100,501,1.002000
917,0.4150,570,1.140000
1222,0.7200,314,0.628000
1527,1.0250,200,0.400000
1832,1.3300,141,0.282000
2137,1.6350,105,0.210000
2442,1.9400,81,0.162000
2747,2.2450,66,0.132000
3052,2.5500,56,0.112000
3357,2.8550,49,0.098000
3662,3.1600,45,0.090000
3967,3.4650,42,0.084000
4272,3.7700,40,0.080000
4577,4.0750,39,0.078000
4882,4.3800,38,0.076000
