t_us,t_ms_from_toggle,rawDiff,diffV
3,-0.5010,2,0.004000
308,-0.1960,0,0.000000
613,0.1090,499,0.998000
918,0.4140,526,1.052000
1223,0.7190,271,0.542000
1528,1.0240,168,0.336000
1833,1.3290,115,0.230000
2138,1.6340,83,0.166000
2443,1.9390,64,0.128000
2748,2.2440,52,0.104000
3053,2.5490,44,0.088000
3358,2.8540,40,0.080000
3663,3.1590,36,0.072000
3968,3.4640,34,0.068000
4273,3.7690,33,0.066000
4578,4.0740,32,0.064000
4883,4.3790,32,0.064000
