t_us,t_ms_from_toggle,rawDiff,diffV
3,-0.4980,1,0.002000
308,-0.1930,2,0.004000
613,0.1120,517,1.034000
918,0.4170,685,1.370000
1223,0.7220,441,0.882000
1528,1.0270,304,0.608000
1833,1.3320,225,0.450000
2138,1.6370,178,0.356000
2443,1.9420,146,0.292000
2748,2.2470,122,0.244000
3053,2.5520,105,0.210000
3358,2.8570,92,0.184000
3663,3.1620,83,0.166000
3968,3.4670,75,0.150000
4273,3.7720,70,0.140000
4578,4.0770,66,0.132000
4883,4.3820,63,0.126000
