t_us,t_ms_from_toggle,rawDiff,diffV
3,-0.4990,2,0.004000
308,-0.1940,1,0.002000
613,0.1110,486,0.972000
918,0.4160,511,1.022000
1223,0.7210,263,0.526000
1528,1.0260,163,0.326000
1833,1.3310,111,0.222000
2138,1.6360,81,0.162000
2443,1.9410,62,0.124000
2748,2.2460,50,0.100000
3053,2.5510,43,0.086000
3358,2.8560,39,0.078000
3663,3.1610,37,0.074000
3968,3.4660,35,0.070000
4273,3.7710,34,0.068000
4578,4.0760,33,0.066000
4883,4.3810,32,0.064000
