t_us,t_ms_from_toggle,rawDiff,diffV
0,-2.5550,-1,-0.002000
2550,-0.0050,533,1.066000
5055,2.5000,60,0.120000
7550,4.9950,14,0.028000
10049,7.4940,9,0.018000
12545,9.9900,9,0.018000
