Log Start Time,2026-01-18T18:33:50
Delta uS,V Ch1,V Ch2, I, X, Y, Z, Temp, RTC Stamp
1001380.0,7.933,0.0,0.0000,-0.24,0.16,7.61,70,2026-01-18T18:34:32
669392.0,7.818,0.0,0.0000,0.78,0.86,13.34,70,2026-01-18T18:34:32
81636.0,7.818,0.0,0.0000,-0.31,4.08,11.06,70,2026-01-18T18:34:32
32916.0,7.732,0.0,0.0000,-1.73,7.61,7.92,70,2026-01-18T18:34:32
76680.0,7.847,0.0,0.0000,0.55,5.41,10.98,70,2026-01-18T18:34:32
32912.0,7.875,0.0,0.0000,3.69,-0.71,12.16,70,2026-01-18T18:34:32
29964.0,7.904,0.0,0.0000,1.41,-5.57,10.67,70,2026-01-18T18:34:32
76724.0,7.875,0.0,0.0000,0.94,-1.33,9.96,70,2026-01-18T18:34:33
48944.0,7.904,0.0,0.0000,-0.31,-9.49,9.10,70,2026-01-18T18:34:33
38748.0,7.704,0.0,0.0000,-3.61,-2.28,6.20,70,2026-01-18T18:34:33
1464.0,7.761,0.0,0.0000,-1.57,-6.28,6.98,70,2026-01-18T18:34:33
35116.0,7.875,0.0,0.0000,0.16,-1.88,10.43,70,2026-01-18T18:34:33
38736.0,7.904,0.0,0.0000,2.67,-1.96,13.96,70,2026-01-18T18:34:33
38748.0,7.790,0.0,0.0000,-2.59,5.02,10.28,70,2026-01-18T18:34:33
29960.0,7.790,0.0,0.0000,-2.98,9.10,7.85,70,2026-01-18T18:34:33
29972.0,7.790,0.0,0.0000,1.57,15.22,7.53,70,2026-01-18T18:34:33
70888.0,7.847,0.0,0.0000,0.00,-0.94,10.90,70,2026-01-18T18:34:33
32232.0,7.875,0.0,0.0000,-1.10,-4.00,10.36,70,2026-01-18T18:34:33
1464.0,7.875,0.0,0.0000,4.71,-3.92,10.90,70,2026-01-18T18:34:33
635420.0,7.875,0.0,0.0000,-1.02,-0.31,9.73,70,2026-01-18T18:34:34
844640.0,7.904,0.0,0.0000,-0.63,-7.77,8.16,70,2026-01-18T18:34:34
155556.0,7.933,0.0,0.0000,-0.78,-0.63,8.24,70,2026-01-18T18:34:35
190596.0,7.875,0.0,0.0000,0.00,0.00,11.22,70,2026-01-18T18:34:35
811708.0,7.933,0.0,0.0000,-0.16,0.08,9.41,70,2026-01-18T18:34:36
238764.0,7.847,0.0,0.0000,-3.69,-0.94,7.06,70,2026-01-18T18:34:36
36428.0,7.790,0.0,0.0000,-2.12,4.00,7.22,70,2026-01-18T18:34:36
31444.0,7.790,0.0,0.0000,-0.78,7.53,9.81,70,2026-01-18T18:34:36
202268.0,7.790,0.0,0.0000,3.77,-4.16,13.10,70,2026-01-18T18:34:36
29960.0,7.761,0.0,0.0000,-3.06,-9.89,12.32,70,2026-01-18T18:34:36
1472.0,7.790,0.0,0.0000,-5.73,-16.48,12.87,70,2026-01-18T18:34:36
203976.0,7.847,0.0,0.0000,0.24,20.63,11.69,70,2026-01-18T18:34:36
1464.0,7.847,0.0,0.0000,-0.47,10.04,15.06,70,2026-01-18T18:34:36
1464.0,7.847,0.0,0.0000,-1.26,16.00,15.38,70,2026-01-18T18:34:36
180024.0,7.847,0.0,0.0000,5.02,-3.77,13.42,70,2026-01-18T18:34:36
