Log Start Time,2026-01-17T20:30:06
Delta uS,V Ch1,V Ch2, I, Temp, RTC Stamp
552.0,2.320,0.0,0.0000,76,2026-01-17T20:30:31
552.0,2.692,0.0,0.0000,76,2026-01-17T20:30:31
556.0,3.064,0.0,0.0000,76,2026-01-17T20:30:31
548.0,3.494,0.0,0.0000,76,2026-01-17T20:30:31
25732.0,4.009,0.0,0.0000,76,2026-01-17T20:30:31
25436.0,8.391,0.0,0.0000,76,2026-01-17T20:30:31
568.0,8.735,0.0,0.0000,76,2026-01-17T20:30:31
29536.0,0.659,0.0,0.0000,76,2026-01-17T20:30:31
24422.0,6.816,0.0,0.0000,76,2026-01-17T20:30:31
566.0,6.358,0.0,0.0000,76,2026-01-17T20:30:31
554.0,5.899,0.0,0.0000,76,2026-01-17T20:30:31
25462.0,8.334,0.0,0.0000,76,2026-01-17T20:30:31
572.0,8.677,0.0,0.0000,76,2026-01-17T20:30:31
556.0,8.964,0.0,0.0000,76,2026-01-17T20:30:31
26412.0,0.659,0.0,0.0000,76,2026-01-17T20:30:31
560.0,0.974,0.0,0.0000,76,2026-01-17T20:30:31
552.0,1.289,0.0,0.0000,76,2026-01-17T20:30:31
24738.0,3.923,0.0,0.0000,76,2026-01-17T20:30:31
566.0,3.408,0.0,0.0000,76,2026-01-17T20:30:31
556.0,2.950,0.0,0.0000,76,2026-01-17T20:30:31
550.0,2.492,0.0,0.0000,76,2026-01-17T20:30:31
552.0,2.033,0.0,0.0000,76,2026-01-17T20:30:31
550.0,1.632,0.0,0.0000,76,2026-01-17T20:30:31
25756.0,9.336,0.0,0.0000,76,2026-01-17T20:30:31
568.0,9.050,0.0,0.0000,76,2026-01-17T20:30:31
24596.0,6.644,0.0,0.0000,76,2026-01-17T20:30:31
570.0,7.160,0.0,0.0000,76,2026-01-17T20:30:31
554.0,7.646,0.0,0.0000,76,2026-01-17T20:30:31
25304.0,0.601,0.0,0.0000,76,2026-01-17T20:30:31
562.0,0.916,0.0,0.0000,76,2026-01-17T20:30:31
554.0,1.289,0.0,0.0000,76,2026-01-17T20:30:31
552.0,1.690,0.0,0.0000,76,2026-01-17T20:30:31
548.0,2.148,0.0,0.0000,76,2026-01-17T20:30:31
30644.0,0.745,0.0,0.0000,76,2026-01-17T20:30:31
560.0,1.088,0.0,0.0000,76,2026-01-17T20:30:31
552.0,1.489,0.0,0.0000,76,2026-01-17T20:30:31
24762.0,0.831,0.0,0.0000,76,2026-01-17T20:30:31
24442.0,6.415,0.0,0.0000,76,2026-01-17T20:30:31
570.0,5.814,0.0,0.0000,76,2026-01-17T20:30:31
558.0,5.212,0.0,0.0000,76,2026-01-17T20:30:31
552.0,4.582,0.0,0.0000,76,2026-01-17T20:30:31
556.0,3.952,0.0,0.0000,76,2026-01-17T20:30:31
552.0,3.666,0.0,0.0000,76,2026-01-17T20:30:31
548.0,3.093,0.0,0.0000,76,2026-01-17T20:30:31
552.0,2.492,0.0,0.0000,76,2026-01-17T20:30:31
550.0,1.947,0.0,0.0000,76,2026-01-17T20:30:31
550.0,1.489,0.0,0.0000,76,2026-01-17T20:30:31
552.0,1.060,0.0,0.0000,76,2026-01-17T20:30:31
26464.0,4.009,0.0,0.0000,76,2026-01-17T20:30:31
572.0,3.408,0.0,0.0000,76,2026-01-17T20:30:31
556.0,2.807,0.0,0.0000,76,2026-01-17T20:30:31
552.0,2.262,0.0,0.0000,76,2026-01-17T20:30:31
552.0,1.747,0.0,0.0000,76,2026-01-17T20:30:31
552.0,1.461,0.0,0.0000,76,2026-01-17T20:30:31
550.0,1.060,0.0,0.0000,76,2026-01-17T20:30:31
550.0,0.687,0.0,0.0000,76,2026-01-17T20:30:31
26044.0,2.778,0.0,0.0000,76,2026-01-17T20:30:31
568.0,2.176,0.0,0.0000,76,2026-01-17T20:30:31
552.0,1.690,0.0,0.0000,76,2026-01-17T20:30:31
552.0,1.203,0.0,0.0000,76,2026-01-17T20:30:31
552.0,0.773,0.0,0.0000,76,2026-01-17T20:30:31
552.0,0.601,0.0,0.0000,76,2026-01-17T20:30:31
42856.0,9.966,0.0,0.0000,76,2026-01-17T20:30:31
24244.0,9.107,0.0,0.0000,76,2026-01-17T20:30:31
570.0,9.479,0.0,0.0000,76,2026-01-17T20:30:31
25290.0,9.136,0.0,0.0000,76,2026-01-17T20:30:31
572.0,9.508,0.0,0.0000,76,2026-01-17T20:30:31
556.0,9.794,0.0,0.0000,76,2026-01-17T20:30:31
28070.0,9.336,0.0,0.0000,76,2026-01-17T20:30:31
560.0,8.849,0.0,0.0000,76,2026-01-17T20:30:31
550.0,8.305,0.0,0.0000,76,2026-01-17T20:30:31
552.0,8.019,0.0,0.0000,76,2026-01-17T20:30:31
550.0,7.360,0.0,0.0000,76,2026-01-17T20:30:31
550.0,6.644,0.0,0.0000,76,2026-01-17T20:30:31
552.0,5.899,0.0,0.0000,76,2026-01-17T20:30:31
548.0,5.155,0.0,0.0000,76,2026-01-17T20:30:31
552.0,4.353,0.0,0.0000,76,2026-01-17T20:30:31
550.0,3.952,0.0,0.0000,76,2026-01-17T20:30:31
550.0,3.236,0.0,0.0000,76,2026-01-17T20:30:31
554.0,2.520,0.0,0.0000,76,2026-01-17T20:30:31
550.0,1.890,0.0,0.0000,76,2026-01-17T20:30:31
552.0,1.289,0.0,0.0000,76,2026-01-17T20:30:31
550.0,0.802,0.0,0.0000,76,2026-01-17T20:30:31
29240.0,1.346,0.0,0.0000,76,2026-01-17T20:30:31
558.0,1.947,0.0,0.0000,76,2026-01-17T20:30:31
558.0,2.606,0.0,0.0000,76,2026-01-17T20:30:31
552.0,3.351,0.0,0.0000,76,2026-01-17T20:30:31
550.0,4.181,0.0,0.0000,76,2026-01-17T20:30:31
552.0,4.954,0.0,0.0000,76,2026-01-17T20:30:31
550.0,5.355,0.0,0.0000,76,2026-01-17T20:30:31
550.0,6.157,0.0,0.0000,76,2026-01-17T20:30:31
