Time (ms),A0 (I),A4-A5 (I),A2-A3 (V)
22.68,1.949,-0.081177,-79.126
22.691,1.9494,-0.081177,-78.546
22.701,1.9486,-0.097841,-77.615
22.712,1.949,-0.07594,-77.615
22.722,1.9484,-0.068084,-76.58
22.733,1.9486,-0.079987,-75.358
22.743,1.9488,-0.073321,-75.089
22.753,1.9482,-0.04404,-75.772
22.764,1.9482,-0.047135,-75.13
22.774,1.9478,-0.044516,-72.853
22.785,1.9476,-0.021901,-73.433
22.796,1.947,-0.0080939,-73.039
22.806,1.947,-0.0052372,-71.114
22.817,1.947,-0.0023806,-71.362
22.827,1.9472,0.010712,-72.273
22.837,1.9466,0.0097603,-70.079
22.848,1.9466,0.0026186,-69.106
22.858,1.9458,0.004285,-68.671
22.869,1.9454,0.014045,-68.961
22.88,1.9456,0.019044,-68.009
22.89,1.9454,-0.0071417,-65.959
22.901,1.9456,0.0061894,-66.787
22.911,1.945,0.027852,-66.145
22.922,1.945,0.011903,-65.338
22.932,1.9452,-0.0033328,-64.738
22.942,1.9442,0.027138,-64.717
22.953,1.943,0.028091,-63.04
22.963,1.9434,-0.0033328,-61.943
22.974,1.9434,0.0052372,-62.626
22.985,1.9436,0.026662,-61.963
22.995,1.9428,0.020711,-59.872
23.006,1.9422,0.0028567,-60.162
23.016,1.942,0.0083319,-60.556
23.026,1.9418,0.016426,-59.231
23.037,1.9418,0,-57.636
23.047,1.9412,0.0028567,-57.968
23.058,1.9412,0.026424,-58.713
23.069,1.9406,0.016426,-56.022
23.079,1.9402,0.015236,-55.318
23.09,1.9404,0.012617,-55.587
23.1,1.9402,0.017616,-54.676
23.11,1.9396,0.019282,-53.185
23.121,1.9385,0.0071417,-52.937
23.131,1.9389,0.011189,-52.792
23.142,1.9389,0.026186,-52.254
23.152,1.9381,0.013093,-50.825
23.163,1.9375,0.0097603,-50.825
23.174,1.9365,0.030233,-50.66
23.184,1.9367,0.0090461,-48.403
23.195,1.9363,-0.0028567,-48.548
23.205,1.9357,0.012617,-47.948
23.215,1.9359,0.023091,-48.714
23.226,1.9357,0.018568,-46.167
23.236,1.9353,-0.0016664,-46.85
23.247,1.9349,0.00857,-46.912
23.258,1.9343,0.025234,-43.745
23.268,1.9341,0.012855,-43
23.279,1.9337,-0.0016664,-45.277
23.289,1.9337,0.0269,-43.082
23.299,1.9337,0.016188,-41.178
23.31,1.9337,0.0078558,-41.447
23.32,1.9327,0.015236,-41.84
23.331,1.9321,0.019044,-40.971
23.341,1.9315,0.004523,-38.963
23.352,1.9313,-0.0014283,-39.128
23.363,1.9307,0.021187,-39.252
23.373,1.9307,0.01833,-36.52
23.384,1.9299,-0.00071417,-36.54
23.394,1.9297,0.0038089,-38.072
23.404,1.9297,0.028805,-35.857
23.415,1.9291,0.019044,-35.505
23.425,1.9285,-0.0069036,-34.304
23.436,1.9283,0.014521,-34.967
23.447,1.9273,0.017616,-33.373
23.457,1.9275,0.010474,-31.924
23.468,1.9273,0.00047611,-31.924
23.478,1.9263,0.018806,-31.468
23.488,1.9265,0.014521,-29.895
23.499,1.9259,0.0047611,-29.46
23.509,1.9257,0.0090461,-29.605
23.52,1.9248,0.0095222,-28.508
23.53,1.9244,0.0095222,-26.976
23.541,1.924,0.0095222,-27.328
23.552,1.9236,0.021187,-27.638
23.562,1.9224,0.012617,-24.574
23.573,1.922,0.0059514,-25.237
23.583,1.9216,0.0016664,-25.816
23.593,1.9218,0.015712,-23.725
23.604,1.921,0.016426,-22.504
23.614,1.9208,-0.00071417,-22.649
23.625,1.92,0.0069036,-22.649
23.636,1.9194,0.022615,-20.661
23.646,1.9202,0.008808,-20.475
23.657,1.9192,0.0038089,-20.351
23.667,1.918,0.029995,-19.647
23.677,1.9176,0.01595,-17.846
23.688,1.9176,0.013093,-18.363
23.698,1.9168,0.011665,-17.908
23.709,1.9166,0.016664,-16.624
23.72,1.9162,0.020473,-16.231
23.73,1.916,0.014045,-15.776
23.741,1.9152,0.019044,-14.223
23.751,1.9148,0.017854,-12.649
23.762,1.9144,0.0038089,-12.567
23.772,1.9144,-0.0028567,-12.96
23.782,1.9128,0.030947,-11.552
23.793,1.9128,0.019282,-10.269
23.803,1.9128,0.0026186,-10.89
23.814,1.9122,0.0047611,-9.9787
23.825,1.9112,0.030471,-8.1776
23.835,1.9103,0.013569,-8.1362
23.846,1.9105,0.0016664,-8.3846
23.856,1.9097,0.017854,-7.4116
23.866,1.9091,0.018806,-5.714
23.877,1.9089,-0.0064275,-6.0245
23.887,1.9083,0.0076178,-5.4241
23.898,1.9079,0.020949,-4.3062
23.909,1.9079,0.019282,-2.7121
23.919,1.9079,0.0095222,-2.298
23.93,1.9057,0.0083319,-3.1675
23.94,1.9055,0.029995,-0.91092
23.951,1.9055,0.016426,-0.66249
23.961,1.9043,0.0061894,-1.2008
23.971,1.9035,0.018806,0.33124
23.982,1.9035,0.023329,1.8425
23.992,1.9027,0.004285,2.9812
24.003,1.9019,0.0080939,2.5671
24.014,1.9017,0.018806,2.8156
24.024,1.9005,0.017378,4.0784
24.035,1.9009,-0.011427,4.3062
24.045,1.9003,0.01595,4.4304
24.055,1.8999,0.021663,7.1839
24.066,1.8987,0.004523,6.8733
24.076,1.8983,0.010474,6.3765
24.087,1.8977,0.029043,8.3846
24.098,1.8977,0.018092,9.4405
24.108,1.8969,0.0059514,8.2397
24.119,1.8962,0.0069036,9.7096
24.129,1.8954,0.012141,11.635
24.14,1.895,0.010712,11.552
24.15,1.895,-0.0035708,11.387
24.16,1.8944,0.014997,12.297
24.171,1.8936,0.017616,13.809
24.181,1.8928,0.010951,13.291
24.192,1.892,0.0035708,13.477
24.203,1.892,0.019282,15.113
24.213,1.892,0.020711,15.713
24.224,1.8914,0.0095222,16.086
24.234,1.8904,0.008808,16.873
24.244,1.8902,0.028567,18.26
24.255,1.8898,0.018568,17.804
24.265,1.8894,0.0038089,18.612
24.276,1.888,0.017616,18.964
24.287,1.8886,0.011189,20.247
24.297,1.8872,0.0040469,19.916
24.308,1.886,-0.00023806,20.786
24.318,1.8858,0.030947,21.696
24.328,1.8854,0.0038089,22.67
24.339,1.885,-0.0033328,21.945
24.349,1.8844,0.0071417,23.166
24.36,1.8834,0.016426,24.119
24.37,1.8832,0.010236,24.74
24.381,1.8821,0.0071417,24.388
24.392,1.8825,0.019759,26.085
24.402,1.8821,0.01595,26.21
24.413,1.8809,-0.0014283,25.837
24.423,1.8809,-0.0014283,27.038
24.433,1.8807,0.016188,27.7
24.444,1.8797,0.021187,27.638
24.454,1.8797,0.0019044,28.218
24.465,1.8777,0.017616,29.667
24.476,1.8777,0.018806,30.185
24.486,1.8773,0.0052372,29.957
24.497,1.8769,0.010236,30.702
24.507,1.8763,0.022853,32.669
24.517,1.8757,0.022139,32.255
24.528,1.8751,0.0059514,32.959
24.538,1.8747,0.012855,33.394
24.549,1.8745,0.027376,34.656
24.559,1.8733,0.017616,34.139
24.57,1.8725,0.004523,34.553
24.581,1.8717,0.020949,35.816
24.591,1.8717,0.017616,36.458
24.602,1.8711,0.0097603,35.547
24.612,1.8705,0.0011903,37.7
24.622,1.8701,0.01833,38.383
24.633,1.8697,0.021425,37.803
24.643,1.8678,-0.0030947,38.259
24.654,1.868,0.0071417,39.522
24.665,1.8672,0.024044,39.604
24.675,1.8668,0.0076178,39.729
24.686,1.866,0.00023806,40.867
24.696,1.8666,0.01833,42.834
24.706,1.8648,0.012855,42.172
24.717,1.8648,0.0064275,41.675
24.727,1.8644,0.0073797,42.668
24.738,1.8634,0.020473,43.973
24.748,1.8628,0.011665,42.813
24.759,1.8618,-0.015474,43.704
24.77,1.8616,0.0090461,45.443
24.78,1.8614,0.024044,46.146
24.791,1.8604,0.0057133,45.919
24.801,1.86,0.0033328,45.505
24.811,1.859,0.01595,48.155
24.822,1.8592,0.01833,48.01
24.832,1.8576,-0.0035708,47.782
24.843,1.8576,0.0052372,49.231
24.854,1.8568,0.021187,50.101
24.864,1.8564,0.019759,49.583
24.875,1.8564,0.0011903,50.183
24.885,1.8564,0.022853,51.923
24.895,1.8564,0.020473,51.364
24.906,1.8564,0.004285,51.819
24.916,1.8564,0.00857,52.585
24.927,1.8525,0.021663,54.283
24.938,1.8515,0.0035708,53.475
24.948,1.8507,0.00095222,53.517
24.959,1.8503,0.0097603,54.904
24.969,1.8499,0.022615,55.194
24.98,1.8489,0.0049992,54.966
24.99,1.8487,0.011903,55.608
25,1.8479,0.024282,57.492
25.011,1.8473,0.031423,57.844
25.021,1.8469,0.018092,57.367
25.032,1.8461,0.00857,59.251
25.043,1.8455,0.040469,59.438
25.053,1.8453,0.028567,58.506
25.064,1.8441,0.029043,59.313
25.074,1.8437,0.040469,62.233
25.084,1.8435,0.042136,60.928
25.095,1.8423,0.0269,60.845
25.105,1.8421,0.0047611,62.543
25.116,1.8413,0.031423,63.061
25.127,1.8411,0.031899,63.413
25.137,1.8402,0.0061894,63.392
25.148,1.8394,0.0076178,65.855
25.158,1.8386,0.033804,65.607
25.169,1.8384,0.060942,64.882
25.179,1.8378,0.060466,65.586
25.189,1.8372,0.093794,66.104
25.2,1.837,0.11569,67.222
25.21,1.8352,0.095698,66.787
25.221,1.835,0.089271,69.251
25.232,1.8352,0.11736,69.168
25.242,1.8344,0.12355,69.313
25.253,1.8332,0.11046,69.789
25.263,1.8326,0.14117,70.037
25.273,1.8322,0.1595,71.569
25.284,1.831,0.14521,70.348
25.294,1.831,0.14045,71.673
25.305,1.8306,0.17973,73.246
25.316,1.8306,0.18497,71.88
25.326,1.8298,0.16473,72.315
25.337,1.8294,0.17688,74.633
25.347,1.829,0.19044,74.696
25.358,1.8282,0.1864,73.557
25.368,1.8268,0.18306,75.834
25.378,1.8266,0.19044,76.724
25.389,1.8268,0.21306,77.18
25.399,1.8251,0.19259,77.097
25.41,1.8245,0.19425,78.319
25.421,1.8241,0.21473,78.67
25.431,1.8241,0.22306,78.774
25.442,1.8235,0.21377,79.768
25.452,1.8231,0.21592,79.83
25.462,1.8225,0.2471,80.844
25.473,1.8211,0.24543,80.41
25.483,1.8209,0.22901,81.942
25.494,1.8201,0.24567,82.873
25.505,1.8199,0.26138,82.666
25.515,1.8191,0.25734,84.136
25.526,1.8183,0.24615,85.275
25.536,1.8181,0.26876,83.722
25.547,1.8177,0.28233,85.006
25.557,1.8177,0.26543,85.834
25.567,1.8177,0.26615,87.386
25.578,1.8165,0.28995,86.434
25.588,1.8155,0.28495,87.241
25.599,1.8153,0.27638,90.119
25.61,1.8145,0.30138,88.173
25.62,1.8145,0.3109,88.794
25.631,1.8137,0.29876,90.119
25.641,1.8127,0.30423,91.009
25.651,1.8125,0.31828,90.782
25.662,1.8114,0.31923,91.775
25.672,1.8114,0.31138,92.21
25.683,1.8112,0.31804,93.659
25.694,1.8108,0.32637,91.693
25.704,1.81,0.32899,93.307
25.715,1.8092,0.31614,94.964
25.725,1.8096,0.34708,95.005
25.735,1.8086,0.34851,94.467
25.746,1.8088,0.3309,96.599
25.756,1.8074,0.34351,96.371
25.767,1.8072,0.35565,96.516
25.777,1.8068,0.35089,97.406
25.788,1.8066,0.34708,99.394
25.799,1.806,0.35851,99.001
25.809,1.8054,0.36541,99.166
25.82,1.8048,0.36065,99.415
25.83,1.8048,0.36494,99.829
25.84,1.8048,0.37565,100.76
25.851,1.8048,0.3697,100.3
25.861,1.8032,0.36637,102.6
25.872,1.802,0.37279,102.35
25.883,1.8018,0.39565,101.65
25.893,1.802,0.37541,102.5
25.904,1.8016,0.37208,103.62
25.914,1.8016,0.40017,104.55
25.924,1.8008,0.4085,104.03
25.935,1.8002,0.38327,104.59
25.945,1.7994,0.39422,106.78
25.956,1.8,0.40469,105.98
25.966,1.7994,0.3947,105.89
25.977,1.7986,0.39946,107.47
25.988,1.7984,0.40422,107.86
25.998,1.7984,0.42231,107.9
26.009,1.7971,0.40303,107.92
26.019,1.7971,0.40398,109.75
26.029,1.7969,0.41755,109.08
26.04,1.7971,0.41279,108.86
26.05,1.7965,0.41707,111.34
26.061,1.7963,0.43874,110.82
26.072,1.7963,0.43945,110.76
26.082,1.7951,0.43136,112.02
26.093,1.7951,0.42683,113.18
26.103,1.7949,0.41755,113.1
26.113,1.7941,0.45016,111.98
26.124,1.7943,0.43088,113.31
26.134,1.7943,0.41065,114.57
26.145,1.7937,0.45088,114.34
26.155,1.7931,0.45373,114.01
26.166,1.7929,0.42493,115.29
26.177,1.7933,0.44945,116.64
26.187,1.7931,0.45921,115.83
26.198,1.7931,0.42517,115.85
26.208,1.7923,0.44588,118.81
26.218,1.7923,0.44493,117.24
26.229,1.7919,0.44683,116.93
26.239,1.7921,0.45278,118.79
26.25,1.7919,0.44207,118.85
26.261,1.7909,0.45278,118.65
26.271,1.7909,0.46611,120.3
26.282,1.7911,0.4354,121.28
26.292,1.7911,0.46302,120.49
26.302,1.7909,0.4942,121.26
26.313,1.7907,0.45445,121.32
26.323,1.7901,0.47325,122.44
26.334,1.7899,0.47206,122.83
26.345,1.7903,0.45421,122.17
26.355,1.7899,0.48516,123.78
26.366,1.7899,0.45016,124.11
26.376,1.7891,0.49158,123.02
26.387,1.7893,0.48349,123.99
26.397,1.7891,0.44659,124.78
26.407,1.7893,0.4823,124.61
26.418,1.7893,0.47992,124.75
26.428,1.7889,0.46326,126.04
26.439,1.7891,0.49111,126.56
26.45,1.7887,0.46611,126.64
26.46,1.7891,0.49944,127.53
26.471,1.7889,0.48159,127.8
26.481,1.7883,0.45302,128.96
26.491,1.7887,0.51301,126.64
26.502,1.7885,0.45873,128.65
26.512,1.7883,0.49515,130.03
26.523,1.7889,0.4973,129.41
26.534,1.7891,0.47492,128.96
26.544,1.7887,0.51634,131.57
26.555,1.7881,0.45516,129.62
26.565,1.7877,0.50658,130.53
26.576,1.7877,0.50111,130.22
26.586,1.7881,0.45254,131.71
26.596,1.7881,0.51325,131.07
26.607,1.7883,0.46706,131.86
26.617,1.7885,0.51396,132.52
26.628,1.7883,0.47873,131.86
26.639,1.7885,0.47659,131.69
26.649,1.7879,0.54705,131.65
26.66,1.7879,0.45635,133.84
26.67,1.7889,0.52301,133.93
26.68,1.7887,0.4842,133.18
26.691,1.7895,0.50182,134.9
26.701,1.7889,0.51753,135.19
26.712,1.7887,0.47302,133.43
26.723,1.7891,0.5411,133.78
26.733,1.7889,0.45826,135.83
26.744,1.7889,0.49587,134.77
26.754,1.7891,0.50753,134.53
26.765,1.7889,0.48492,136.49
26.775,1.7889,0.52539,136.64
26.785,1.7891,0.46492,136
26.796,1.7897,0.55348,136.02
26.806,1.7903,0.48159,136.37
26.817,1.7897,0.50015,138.09
26.828,1.7903,0.51087,136.56
26.838,1.7897,0.48135,137.14
26.849,1.7901,0.5461,138.25
26.859,1.7905,0.45683,138.92
26.869,1.7903,0.55848,137.59
26.88,1.7919,0.48516,139.81
26.89,1.7905,0.50944,139.74
26.901,1.7903,0.53348,138.27
26.912,1.7909,0.48801,139.47
26.922,1.7919,0.55776,140.3
26.933,1.7915,0.45564,139.16
26.943,1.7911,0.55895,139.14
26.953,1.7919,0.47754,139.18
26.964,1.7919,0.5092,142.06
26.974,1.7923,0.50753,140.43
26.985,1.7923,0.48182,140.14
26.995,1.7927,0.55872,142.33
27.006,1.7927,0.45445,141.34
27.017,1.7929,0.54467,141.46
27.027,1.7931,0.49206,141.88
27.038,1.7935,0.52586,142.56
27.048,1.7935,0.5042,142.83
27.058,1.7929,0.49563,141.52
27.069,1.7939,0.55395,143.33
27.079,1.7943,0.4654,144.22
27.09,1.7951,0.54777,142
27.101,1.7951,0.47968,142.68
27.111,1.7951,0.53539,144.57
27.122,1.7951,0.49063,144.44
27.132,1.7963,0.49777,142.93
27.142,1.7959,0.56014,143.78
27.153,1.7965,0.46468,144.28
27.163,1.7965,0.56371,142.7
27.174,1.7965,0.47873,143.28
27.184,1.7973,0.54991,144.3
27.195,1.7977,0.48682,144.44
27.206,1.7979,0.51634,144.53
27.216,1.7977,0.55419,144.73
27.227,1.7986,0.48492,146.43
27.237,1.7984,0.55943,145.25
27.247,1.799,0.45564,145.56
27.258,1.7992,0.57586,146.45
27.268,1.8,0.48111,147.34
27.279,1.7994,0.54158,145.54
27.29,1.7996,0.52063,146.06
27.3,1.8008,0.52824,148.85
27.311,1.8008,0.55538,147.2
27.321,1.8014,0.4754,147.55
27.331,1.801,0.59038,148.42
27.342,1.8022,0.46754,148.77
27.352,1.8024,0.57348,149.08
27.363,1.8032,0.47754,148.15
27.373,1.8048,0.58228,149.16
27.384,1.8048,0.50063,149.99
27.395,1.8048,0.51944,151.07
27.405,1.8048,0.57609,149.47
27.416,1.8056,0.48444,151.07
27.426,1.8056,0.57014,150.49
27.436,1.8058,0.45754,150.65
27.447,1.8058,0.61513,152.31
27.457,1.8062,0.4723,152.17
27.468,1.8068,0.57895,152.1
27.479,1.8074,0.49111,153.72
27.489,1.808,0.56824,153.82
27.5,1.808,0.50611,153.97
27.51,1.8088,0.51658,152.64
27.52,1.809,0.57205,153.9
27.531,1.8094,0.49968,155.06
27.541,1.81,0.59395,154.13
27.552,1.81,0.46944,155.5
27.562,1.8106,0.62775,155.62
27.573,1.8108,0.4623,155.95
27.584,1.8116,0.59514,156.33
27.594,1.812,0.46897,156.22
27.605,1.8131,0.59109,157.28
27.615,1.8129,0.49111,156.39
27.625,1.8131,0.55134,155.52
27.636,1.8139,0.553,157.03
27.646,1.8145,0.50587,157.24
27.657,1.8155,0.56348,156.37
27.668,1.8159,0.48778,158.07
27.678,1.8153,0.59776,158.15
27.689,1.8165,0.45302,158.69
27.699,1.8177,0.59823,157.42
27.709,1.8177,0.4673,158.36
27.72,1.8181,0.59085,159.22
27.73,1.8181,0.45968,158.23
27.741,1.8191,0.57919,159.27
27.752,1.8199,0.50658,159.6
27.762,1.8203,0.55372,160.01
27.773,1.8205,0.53467,158.6
27.783,1.8207,0.52396,158.94
27.794,1.8217,0.56871,160.65
27.804,1.8219,0.47135,160.01
27.814,1.8225,0.57633,159.43
27.825,1.8221,0.4604,159.37
27.835,1.8229,0.59871,161.34
27.846,1.8245,0.43326,158.77
27.857,1.8245,0.58633,158.81
27.867,1.8251,0.48135,161.03
27.878,1.8261,0.56943,160.51
27.888,1.8259,0.48349,161.01
27.898,1.8268,0.56252,161.03
27.909,1.8274,0.5361,161.32
27.919,1.8282,0.50539,160.36
27.93,1.8284,0.55776,160.47
27.941,1.829,0.4823,161.05
27.951,1.8288,0.57919,160.84
27.962,1.83,0.43397,160.38
27.972,1.8306,0.58871,160.65
27.983,1.8308,0.46111,161.61
27.993,1.8316,0.57943,161.19
28.003,1.8316,0.46302,161.03
28.014,1.8322,0.56824,162
28.024,1.8322,0.52396,162.54
28.035,1.8338,0.50944,159.76
28.046,1.8338,0.53967,161.77
28.056,1.8346,0.49158,163.32
28.067,1.8348,0.57062,162.33
28.077,1.8356,0.4523,161.17
28.087,1.8362,0.59014,163.32
28.098,1.837,0.46992,162.56
28.108,1.8374,0.57633,162.06
28.119,1.838,0.45897,161.67
28.13,1.838,0.56276,162.33
28.14,1.8394,0.5023,162.77
28.151,1.8407,0.49301,161.96
28.161,1.8405,0.5611,162.33
28.172,1.8407,0.49468,163.32
28.182,1.8413,0.57752,161.13
28.192,1.8415,0.44921,161.34
28.203,1.8427,0.57205,164.34
28.213,1.8435,0.46635,162.81
28.224,1.8439,0.5261,162.19
28.235,1.8445,0.49373,162.99
28.245,1.8445,0.5342,163.66
28.256,1.8457,0.52729,162.21
28.266,1.8461,0.48254,161.32
28.276,1.8465,0.55848,162.99
28.287,1.8475,0.46516,163.34
28.297,1.8475,0.55705,161.48
28.308,1.8487,0.44754,163.45
28.319,1.8493,0.56443,163.66
28.329,1.8495,0.48849,162.89
28.34,1.8499,0.50611,163.1
28.35,1.8511,0.52444,163.05
28.36,1.8515,0.48992,164.38
28.371,1.8523,0.55038,161.65
28.381,1.8564,0.4404,161.71
28.392,1.8564,0.56633,163.41
28.402,1.8564,0.4673,163.01
28.413,1.8564,0.54991,161.83
28.424,1.8564,0.47897,163.24
28.434,1.8564,0.51039,162.74
28.445,1.8568,0.53777,163.14
28.455,1.8568,0.45802,164.32
28.465,1.858,0.56633,163.49
28.476,1.8584,0.45778,164.65
28.486,1.859,0.55562,162.5
28.497,1.8584,0.4485,163.66
28.508,1.8604,0.52063,163.7
28.518,1.8602,0.52206,163.32
28.529,1.8616,0.46683,161.98
28.539,1.8614,0.5461,163.12
28.549,1.8628,0.46397,163.76
28.56,1.8632,0.55086,162.08
28.57,1.8634,0.44731,163.18
28.581,1.8644,0.51682,163.78
28.591,1.865,0.50563,163.61
28.602,1.8656,0.48182,162.66
28.613,1.8662,0.52372,163.22
28.623,1.8664,0.46016,164.32
28.634,1.8672,0.55062,163.16
28.644,1.868,0.44659,163.66
28.654,1.8693,0.51539,164.57
28.665,1.8693,0.49706,165.04
28.675,1.8697,0.49444,162.99
28.686,1.8701,0.50658,162.6
28.697,1.8709,0.46302,163.66
28.707,1.8713,0.55062,163.08
28.718,1.8715,0.44088,162.99
28.728,1.8727,0.51349,163.24
28.738,1.8725,0.49444,164.4
28.749,1.8733,0.47611,163.32
28.759,1.8743,0.51896,164.32
28.77,1.8757,0.44564,164.4
28.78,1.8757,0.53586,164.32
28.791,1.8757,0.45302,162.58
28.802,1.8767,0.4973,163.43
28.812,1.8773,0.50349,164.57
28.823,1.8779,0.47873,162.77
28.833,1.8789,0.52729,162.37
28.843,1.8789,0.44112,164.32
28.854,1.8791,0.53396,163.39
28.864,1.8797,0.47087,162.99
28.875,1.8807,0.48397,163.76
28.886,1.8821,0.48706,164.32
28.896,1.8821,0.46445,164.67
28.907,1.8821,0.52396,164.32
28.917,1.8823,0.43445,164.32
28.927,1.883,0.52039,164.32
28.938,1.8834,0.48849,162.95
28.948,1.8842,0.46802,162.33
28.959,1.8844,0.50825,164.48
28.97,1.8846,0.45968,162.62
28.98,1.8858,0.51825,164.32
28.991,1.8862,0.44278,163.66
29.001,1.887,0.48563,164.32
29.012,1.8874,0.50753,162.79
29.022,1.8886,0.44778,163.08
29.032,1.8894,0.5192,164.4
29.043,1.8892,0.46564,164.98
29.053,1.8894,0.4973,163.53
29.064,1.891,0.47563,163.49
29.075,1.891,0.45445,164.75
29.085,1.8916,0.50658,164.03
29.096,1.8922,0.44992,163.1
29.106,1.8928,0.49039,164.98
29.116,1.893,0.48159,164.48
29.127,1.8936,0.46968,163.05
29.137,1.895,0.49301,163.24
29.148,1.8934,0.4354,164.52
29.159,1.8958,0.50134,164.32
29.169,1.8962,0.46349,162.99
29.18,1.896,0.46278,163.66
29.19,1.8971,0.48754,164.71
29.201,1.8977,0.44421,163.16
29.211,1.8983,0.49777,162
29.221,1.8993,0.44873,163.95
29.232,1.8997,0.4723,164.98
29.242,1.8993,0.5023,163.16
29.253,1.8999,0.4254,163.49
29.264,1.9003,0.48778,163.41
29.274,1.9015,0.46373,163.03
29.285,1.9017,0.46944,161.67
29.295,1.9025,0.46873,163.66
29.305,1.9025,0.42898,164.32
29.316,1.9035,0.50111,162.33
29.326,1.9039,0.44373,162.33
29.337,1.9051,0.44897,163.61
29.348,1.9051,0.49539,162.08
29.358,1.9055,0.44635,161.79
29.369,1.9079,0.47064,162.66
29.379,1.9079,0.43636,162.41
29.39,1.9079,0.43969,161.67
29.4,1.9081,0.47825,160.86
29.41,1.9083,0.4216,163.24
29.421,1.9087,0.46064,161.21
29.431,1.9095,0.47492,161.34
29.442,1.9101,0.42731,162.35
29.453,1.9107,0.46564,161.83
29.463,1.9112,0.44754,161.67
29.474,1.9114,0.4523,159.6
29.484,1.9118,0.44612,160.94
29.494,1.9128,0.42326,161.05
29.505,1.9132,0.47873,159.18
29.515,1.9144,0.45207,160.43
29.526,1.9144,0.41898,161.01
29.537,1.9144,0.44588,159.97
29.547,1.9154,0.42112,159.41
29.558,1.9158,0.43921,159.06
29.568,1.916,0.43874,160.43
29.578,1.9162,0.43731,158.56
29.589,1.9162,0.44873,159.12
29.599,1.918,0.4216,159.22
29.61,1.9188,0.43516,158.77
29.62,1.9192,0.46445,157.3
29.631,1.919,0.41826,157.38
29.642,1.9184,0.42255,159.12
29.652,1.9196,0.45707,157.36
29.663,1.9208,0.41422,155.81
29.673,1.9212,0.42326,157.4
29.683,1.921,0.43231,155.79
29.694,1.9212,0.41826,155.5
29.704,1.922,0.43469,156.7
29.715,1.923,0.40636,155.97
29.726,1.9232,0.40684,155.37
29.736,1.9234,0.43302,154.21
29.747,1.9236,0.40446,155.04
29.757,1.9244,0.40184,155.04
29.767,1.9248,0.44159,153.61
29.778,1.9257,0.42564,153.8
29.788,1.9261,0.4035,152.83
29.799,1.9265,0.4085,153.1
29.809,1.9265,0.41826,150.28
29.82,1.9273,0.38993,152.39
29.831,1.9277,0.38898,152.81
29.841,1.9279,0.39779,150.26
29.852,1.9287,0.40303,148.69
29.862,1.9289,0.39993,150.36
29.872,1.9293,0.39065,150.82
29.883,1.9297,0.39684,148.48
29.893,1.9299,0.40398,149.25
29.904,1.9309,0.38541,149.35
29.915,1.9317,0.38327,147.57
29.925,1.9315,0.40731,147.2
29.936,1.9315,0.38732,146.93
29.946,1.9329,0.3697,147.51
29.956,1.9327,0.38708,145.54
29.967,1.9325,0.40446,145.98
29.977,1.9337,0.37232,145.93
29.988,1.9337,0.36732,145.35
29.998,1.9339,0.39493,144.15
30.009,1.9345,0.37732,144.44
30.02,1.9343,0.35994,143.66
30.03,1.9345,0.36065,142.46
30.041,1.9349,0.38327,142.58
30.051,1.9359,0.36589,143.14
30.061,1.9357,0.36565,142.12
30.072,1.9361,0.38375,139.99
30.082,1.9363,0.38017,139.97
30.093,1.9373,0.36161,140.84
30.104,1.9371,0.36065,138.71
30.114,1.9381,0.36994,138.17
30.125,1.9377,0.36708,137.8
30.135,1.9383,0.34375,138.63
30.145,1.9381,0.35161,136.93
30.156,1.9383,0.37732,137.4
30.166,1.9392,0.35304,137.45
30.177,1.9402,0.34256,136.16
30.188,1.9402,0.35161,135.58
30.198,1.9402,0.37113,135.5
30.209,1.9402,0.34042,136.12
30.219,1.9408,0.33923,134.84
30.23,1.9412,0.3678,133.22
30.24,1.9414,0.34351,133.7
30.25,1.9418,0.3378,134.65
30.261,1.9414,0.35327,131.86
30.271,1.9428,0.34161,132.62
30.282,1.9422,0.3378,132.73
30.293,1.9432,0.33423,131.67
30.303,1.9438,0.34042,131.23
30.314,1.9434,0.33399,131.94
30.324,1.9436,0.3278,131.19
30.334,1.9438,0.32518,128.38
30.345,1.9442,0.34589,128.63
30.355,1.945,0.33209,128.96
30.366,1.9446,0.31138,128.54
30.377,1.9444,0.34042,129.54
30.387,1.9454,0.32994,127.05
30.398,1.946,0.31638,127.22
30.408,1.9454,0.31519,125.89
30.419,1.9456,0.3359,125.44
30.429,1.9454,0.31852,125.4
30.439,1.9466,0.30162,125.85
30.45,1.9468,0.30304,123.41
30.46,1.9466,0.3278,122.54
30.471,1.947,0.31519,125.15
30.482,1.9474,0.29043,123.91
30.492,1.9478,0.3128,122.27
30.503,1.9478,0.30828,123.53
30.513,1.9476,0.30209,123.24
30.523,1.9482,0.30519,120.97
30.534,1.9482,0.31947,120.92
30.544,1.9478,0.30638,121.92
30.555,1.948,0.29209,120.06
30.566,1.9486,0.29828,118.36
30.576,1.9486,0.31185,119.79
30.587,1.949,0.28614,119.37
30.597,1.9486,0.28781,118.85
30.608,1.949,0.30423,116.7
30.618,1.9498,0.29233,118.36
30.628,1.9498,0.27948,116.66
30.639,1.9498,0.28162,116.23
30.649,1.9498,0.30542,115.29
30.66,1.9494,0.27591,116.04
30.671,1.9508,0.26496,115.17
30.681,1.9504,0.28781,113.78
30.692,1.9498,0.28971,115.58
30.702,1.9506,0.26138,113.8
30.712,1.9508,0.26995,113.02
