t_us,t_ms_from_toggle,rawPos,rawNeg,posV,negV,diffV
4455,3.9160,6276,6214,1.264164,1.251676,0.012489
4496,3.9570,6224,6271,1.253690,1.263157,-0.009467
4537,3.9980,6272,6208,1.263358,1.250467,0.012891
4578,4.0390,6212,6254,1.251273,1.259733,-0.008460
4619,4.0800,6250,6186,1.258927,1.246036,0.012891
4660,4.1210,6303,6242,1.269603,1.257316,0.012287
4701,4.1620,6246,6185,1.258121,1.245834,0.012287
4742,4.2030,6286,6222,1.266178,1.253287,0.012891
4784,4.2450,6228,6258,1.254496,1.260538,-0.006043
4825,4.2860,6242,6311,1.257316,1.271214,-0.013899
4866,4.3270,6274,6209,1.263761,1.250668,0.013093
4907,4.3680,6226,6263,1.254093,1.261546,-0.007453
4948,4.4090,6269,6204,1.262754,1.249661,0.013093
4989,4.4500,6248,6188,1.258524,1.246438,0.012086
