datetime,t_rel_us,A0_V
2026-05-10 20:09:59.329000,0,1.53995
2026-05-10 20:09:59.329064,64,1.84480
2026-05-10 20:09:59.329148,148,2.03272
2026-05-10 20:09:59.329343,343,1.45545
2026-05-10 20:09:59.329399,399,1.07633
2026-05-10 20:09:59.329455,455,0.70572
2026-05-10 20:09:59.329510,510,0.41246
2026-05-10 20:09:59.329579,579,0.14668
2026-05-10 20:09:59.329894,894,0.91520
2026-05-10 20:09:59.329950,950,1.27614
2026-05-10 20:09:59.330010,1010,1.62067
2026-05-10 20:09:59.330066,1066,1.85628
2026-05-10 20:09:59.330163,1163,2.03202
2026-05-10 20:09:59.330343,1343,1.45661
2026-05-10 20:09:59.330399,1399,1.11138
2026-05-10 20:09:59.330454,1454,0.74520
2026-05-10 20:09:59.330509,1509,0.41246
2026-05-10 20:09:59.330579,1579,0.11597
2026-05-10 20:09:59.330892,1892,0.87119
2026-05-10 20:09:59.330947,1947,1.25348
2026-05-10 20:09:59.331008,2008,1.59655
2026-05-10 20:09:59.331064,2064,1.87008
2026-05-10 20:09:59.331147,2147,2.04027
2026-05-10 20:09:59.331342,2342,1.45863
2026-05-10 20:09:59.331398,2398,1.10211
2026-05-10 20:09:59.331454,2454,0.74762
2026-05-10 20:09:59.331509,2509,0.41246
2026-05-10 20:09:59.331577,2577,0.15464
2026-05-10 20:09:59.331892,2892,0.89425
2026-05-10 20:09:59.331948,2948,1.23233
2026-05-10 20:09:59.332008,3008,1.60400
2026-05-10 20:09:59.332064,3064,1.85628
2026-05-10 20:09:59.332161,3161,1.98081
2026-05-10 20:09:59.332337,3337,1.47152
2026-05-10 20:09:59.332397,3397,1.08535
2026-05-10 20:09:59.332452,3452,0.72828
2026-05-10 20:09:59.332508,3508,0.40284
2026-05-10 20:09:59.332577,3577,0.12886
2026-05-10 20:09:59.332892,3892,0.90553
2026-05-10 20:09:59.332948,3948,1.25680
2026-05-10 20:09:59.333009,4009,1.60783
2026-05-10 20:09:59.333065,4065,1.86524
2026-05-10 20:09:59.333148,4148,2.06253
2026-05-10 20:09:59.333342,4342,1.44372
2026-05-10 20:09:59.333398,4398,1.10116
2026-05-10 20:09:59.333454,4454,0.71368
2026-05-10 20:09:59.333509,4509,0.41246
2026-05-10 20:09:59.333565,4565,0.13792
2026-05-10 20:09:59.333676,4676,0.00000
2026-05-10 20:09:59.333841,4841,0.55929
2026-05-10 20:09:59.333910,4910,1.01097
2026-05-10 20:09:59.333966,4966,1.36607
2026-05-10 20:09:59.334026,5026,1.69922
2026-05-10 20:09:59.334096,5096,1.95940
2026-05-10 20:09:59.334386,5386,1.18782
2026-05-10 20:09:59.334440,5440,0.82496
2026-05-10 20:09:59.334495,5495,0.48940
2026-05-10 20:09:59.334551,5551,0.19976
2026-05-10 20:09:59.334633,5633,0.02503
2026-05-10 20:09:59.334853,5853,0.66645
2026-05-10 20:09:59.334909,5909,0.98277
2026-05-10 20:09:59.334964,5964,1.39206
2026-05-10 20:09:59.335023,6023,1.65118
2026-05-10 20:09:59.335093,6093,1.94596
2026-05-10 20:09:59.335383,6383,1.19326
2026-05-10 20:09:59.335438,6438,0.82496
2026-05-10 20:09:59.335494,6494,0.48980
2026-05-10 20:09:59.335550,6550,0.23118
2026-05-10 20:09:59.335618,6618,0.00156
2026-05-10 20:09:59.335863,6863,0.71453
2026-05-10 20:09:59.335918,6918,1.09245
2026-05-10 20:09:59.335973,6973,1.43385
2026-05-10 20:09:59.336034,7034,1.72898
2026-05-10 20:09:59.336103,7103,1.96932
2026-05-10 20:09:59.336366,7366,1.29769
2026-05-10 20:09:59.336421,7421,0.95387
2026-05-10 20:09:59.336477,7477,0.60582
2026-05-10 20:09:59.336533,7533,0.28355
2026-05-10 20:09:59.336601,7601,0.06833
2026-05-10 20:09:59.336874,7874,0.79087
2026-05-10 20:09:59.336930,7930,1.15076
2026-05-10 20:09:59.336985,7985,1.48239
2026-05-10 20:09:59.337047,8047,1.79182
2026-05-10 20:09:59.337131,8131,2.03937
2026-05-10 20:09:59.337354,8354,1.36522
2026-05-10 20:09:59.337410,8410,1.01188
2026-05-10 20:09:59.337466,8466,0.68805
2026-05-10 20:09:59.337522,8522,0.35122
2026-05-10 20:09:59.337591,8591,0.09663
2026-05-10 20:09:59.337878,8878,0.80724
2026-05-10 20:09:59.337933,8933,1.15892
2026-05-10 20:09:59.337993,8993,1.51462
2026-05-10 20:09:59.338049,9049,1.79288
2026-05-10 20:09:59.338119,9119,2.00644
2026-05-10 20:09:59.338367,9367,1.31079
2026-05-10 20:09:59.338423,9423,0.93816
2026-05-10 20:09:59.338478,9478,0.59696
2026-05-10 20:09:59.338533,9533,0.33511
2026-05-10 20:09:59.338602,9602,0.05796
2026-05-10 20:09:59.338876,9876,0.77813
2026-05-10 20:09:59.338932,9932,1.17301
2026-05-10 20:09:59.338991,9991,1.49443
2026-05-10 20:09:59.339047,10047,1.78926
2026-05-10 20:09:59.339118,10118,2.00452
2026-05-10 20:09:59.339368,10368,1.29427
2026-05-10 20:09:59.339423,10423,0.95387
2026-05-10 20:09:59.339479,10479,0.59937
2026-05-10 20:09:59.339535,10535,0.29644
2026-05-10 20:09:59.339605,10605,0.02432
2026-05-10 20:09:59.339865,10865,0.72184
