datetime,t_rel_us,A0_V
2026-05-10 20:18:22.706039,39,16.85862
2026-05-10 20:18:22.706165,165,7.48659
2026-05-10 20:18:22.742000,0,10.70929
2026-05-10 20:18:22.819008,77008,17.79924
2026-05-10 20:18:22.819243,77243,6.78363
2026-05-10 20:18:22.854000,0,33.20277
2026-05-10 20:18:22.854028,28,25.70897
2026-05-10 20:18:22.854071,71,17.79924
2026-05-10 20:18:22.854126,126,13.09409
2026-05-10 20:18:22.854182,182,9.54912
2026-05-10 20:18:22.854320,320,1.81463
2026-05-10 20:18:22.906000,0,25.39476
2026-05-10 20:18:22.906040,40,17.74486
2026-05-10 20:18:22.906166,166,8.09588
2026-05-10 20:18:22.908489,2489,3.84292
2026-05-10 20:18:23.022000,0,28.29217
2026-05-10 20:18:23.022041,41,19.40254
2026-05-10 20:18:23.022153,153,8.72733
2026-05-10 20:18:23.022304,304,5.93969
2026-05-10 20:18:23.073000,0,19.79732
2026-05-10 20:18:23.073053,53,12.80405
2026-05-10 20:18:23.073125,125,8.00222
2026-05-10 20:18:23.073372,372,5.42406
2026-05-10 20:18:23.117000,0,31.82204
2026-05-10 20:18:23.117027,27,25.09062
2026-05-10 20:18:23.117068,68,17.54143
2026-05-10 20:18:23.117139,139,10.96711
2026-05-10 20:18:23.117223,223,7.48659
2026-05-10 20:18:23.165000,0,23.90627
2026-05-10 20:18:23.165040,40,16.32486
2026-05-10 20:18:23.165125,125,9.54912
2026-05-10 20:18:23.165249,249,6.64868
2026-05-10 20:18:23.209000,0,3.36152
2026-05-10 20:18:23.209078,78,4.26388
2026-05-10 20:18:23.212116,3116,17.36619
2026-05-10 20:18:23.248000,0,22.75516
2026-05-10 20:18:23.248053,53,14.44763
2026-05-10 20:18:23.248179,179,7.84511
2026-05-10 20:18:23.288000,0,30.17443
2026-05-10 20:18:23.288028,28,23.28187
2026-05-10 20:18:23.288071,71,16.35306
2026-05-10 20:18:23.288140,140,10.25811
2026-05-10 20:18:23.288224,224,7.09986
2026-05-10 20:18:23.376000,0,5.93969
2026-05-10 20:18:38.266282,14890282,1.30000
2026-05-10 20:18:38.269359,14893359,7.96999
2026-05-10 20:18:38.269568,14893568,13.28746
2026-05-10 20:18:38.269773,14893773,18.70160
2026-05-10 20:18:38.271071,14895071,42.01284
2026-05-10 20:18:38.271099,14895099,42.29281
2026-05-10 20:18:38.271128,14895128,42.55063
2026-05-10 20:18:38.271156,14895156,41.71675
2026-05-10 20:18:38.272066,14896066,1.30000
2026-05-10 20:18:38.272080,14896080,1.30000
2026-05-10 20:18:38.272095,14896095,1.30000
2026-05-10 20:18:38.272109,14896109,1.30000
2026-05-10 20:18:38.272124,14896124,1.30000
2026-05-10 20:18:38.272139,14896139,1.30000
2026-05-10 20:18:38.272154,14896154,1.30000
2026-05-10 20:18:38.470000,0,1.30000
2026-05-10 20:18:39.273340,803340,42.23742
2026-05-10 20:18:39.273354,803354,42.28073
2026-05-10 20:18:39.273369,803369,42.75205
2026-05-10 20:18:39.273384,803384,42.09139
2026-05-10 20:18:39.273398,803398,41.98666
2026-05-10 20:18:39.273413,803413,41.64827
2026-05-10 20:18:39.273428,803428,41.87386
2026-05-10 20:18:39.274349,804349,1.32518
2026-05-10 20:18:39.274363,804363,1.30000
2026-05-10 20:18:39.274378,804378,1.39567
2026-05-10 20:18:39.274392,804392,1.30000
2026-05-10 20:18:39.274408,804408,1.30000
2026-05-10 20:18:39.274422,804422,1.30000
2026-05-10 20:18:39.274437,804437,1.30000
2026-05-10 20:18:39.401000,0,1.33122
2026-05-10 20:18:40.273586,872586,41.94436
2026-05-10 20:18:40.273600,872600,42.55063
2026-05-10 20:18:40.273615,872615,42.72889
2026-05-10 20:18:40.273630,872630,41.62612
2026-05-10 20:18:40.273644,872644,42.16390
