t_rel_ms,A0_V
2026-05-10 20:06:55.536550,43550,0.00000
2026-05-10 20:06:55.591000,0,0.00000
2026-05-10 20:06:55.635473,44473,2.07064
2026-05-10 20:06:55.635501,44501,2.03227
2026-05-10 20:06:55.635530,44530,2.03841
2026-05-10 20:06:55.636495,45495,0.00000
2026-05-10 20:06:55.636524,45524,0.00000
2026-05-10 20:06:55.636552,45552,0.00000
2026-05-10 20:06:55.707000,0,0.01284
2026-05-10 20:06:55.735506,28506,2.06253
2026-05-10 20:06:55.735534,28534,2.06792
2026-05-10 20:06:55.735563,28563,2.04168
2026-05-10 20:06:55.736502,29502,0.00000
2026-05-10 20:06:55.736530,29530,0.00000
2026-05-10 20:06:55.736558,29558,0.00000
2026-05-10 20:06:55.799000,0,0.00005
2026-05-10 20:06:55.835552,36552,2.04420
2026-05-10 20:06:55.835581,36581,2.04964
2026-05-10 20:06:55.835595,36595,2.10463
2026-05-10 20:06:55.835623,36623,2.04420
2026-05-10 20:06:55.836531,37531,0.00000
2026-05-10 20:06:55.836560,37560,0.00000
2026-05-10 20:06:55.836588,37588,0.00000
2026-05-10 20:06:55.836616,37616,0.01929
2026-05-10 20:06:55.894000,0,0.00000
2026-05-10 20:06:55.935572,41572,2.04199
2026-05-10 20:06:55.935601,41601,2.06978
2026-05-10 20:06:55.935629,41629,2.06253
2026-05-10 20:06:55.936596,42596,0.05030
2026-05-10 20:06:55.936624,42624,0.00000
2026-05-10 20:06:55.936652,42652,0.01284
2026-05-10 20:06:55.985000,0,0.00000
2026-05-10 20:06:55.985594,594,2.04234
2026-05-10 20:06:55.985622,622,2.01993
2026-05-10 20:06:55.985649,649,2.04722
2026-05-10 20:06:55.986174,1174,2.04027
2026-05-10 20:06:55.986573,1573,0.00000
2026-05-10 20:06:55.986601,1601,0.00000
2026-05-10 20:06:55.986630,1630,0.00000
2026-05-10 20:06:55.986658,1658,0.00000
2026-05-10 20:06:56.105000,0,0.00000
2026-05-10 20:06:56.135632,30632,2.06515
2026-05-10 20:06:56.135661,30661,2.02748
2026-05-10 20:06:56.135689,30689,2.02618
2026-05-10 20:06:56.136638,31638,0.02573
2026-05-10 20:06:56.136667,31667,0.00579
2026-05-10 20:06:56.136695,31695,0.00000
2026-05-10 20:06:56.196000,0,0.00000
2026-05-10 20:06:56.235629,39629,2.06253
2026-05-10 20:06:56.235658,39658,2.06253
2026-05-10 20:06:56.235686,39686,2.03413
2026-05-10 20:06:56.235714,39714,2.04410
2026-05-10 20:06:56.236649,40649,0.00000
2026-05-10 20:06:56.236678,40678,0.01284
2026-05-10 20:06:56.236706,40706,0.00000
2026-05-10 20:06:56.290000,0,0.00398
2026-05-10 20:06:56.335671,45671,2.04536
2026-05-10 20:06:56.335699,45699,2.04964
2026-05-10 20:06:56.335728,45728,2.04964
2026-05-10 20:06:56.336692,46692,0.00000
2026-05-10 20:06:56.336720,46720,0.00000
2026-05-10 20:06:56.336748,46748,0.00640
2026-05-10 20:06:56.404000,0,0.00317
2026-05-10 20:06:56.435685,31685,2.06253
2026-05-10 20:06:56.435714,31714,2.04682
2026-05-10 20:06:56.435742,31742,2.03876
2026-05-10 20:06:56.436706,32706,0.00000
2026-05-10 20:06:56.436735,32735,0.00000
2026-05-10 20:06:56.436763,32763,0.00000
2026-05-10 20:06:56.495000,0,0.01929
2026-05-10 20:06:56.535708,40708,2.03826
2026-05-10 20:06:56.535737,40737,2.04380
2026-05-10 20:06:56.535765,40765,2.03720
2026-05-10 20:06:56.535889,40889,2.08267
2026-05-10 20:06:56.536703,41703,0.00000
2026-05-10 20:06:56.536731,41731,0.00000
2026-05-10 20:06:56.536760,41760,0.00000
2026-05-10 20:06:56.536788,41788,0.00000
2026-05-10 20:06:56.627000,0,0.00000
2026-05-10 20:06:56.635757,8757,2.04732
2026-05-10 20:06:56.635786,8786,2.06253
2026-05-10 20:06:56.635814,8814,2.04702
2026-05-10 20:06:56.636750,9750,0.00000
2026-05-10 20:06:56.636779,9779,0.00000
2026-05-10 20:06:56.636808,9808,0.00352
2026-05-10 20:06:56.684000,0,0.00000
2026-05-10 20:06:56.685756,1756,2.04612
2026-05-10 20:06:56.685784,1784,2.04702
2026-05-10 20:06:56.685812,1812,2.03388
2026-05-10 20:06:56.686239,2239,2.04743
2026-05-10 20:06:56.686748,2748,0.00000
2026-05-10 20:06:56.686777,2777,0.00000
2026-05-10 20:06:56.686804,2804,0.00000
2026-05-10 20:06:56.686833,2833,0.00000
2026-05-10 20:06:56.757000,0,0.00000
2026-05-10 20:06:56.785786,28786,2.04974
2026-05-10 20:06:56.785815,28815,2.04964
2026-05-10 20:06:56.785843,28843,2.04199
2026-05-10 20:06:56.786794,29794,0.00000
2026-05-10 20:06:56.786822,29822,0.00000
