Timestamp(ms),Current(uA),D0-D7
50272,891.959,10000000
50273,891.689,10000000
50274,891.918,10000000
50275,892.157,10000000
50276,892.377,10000000
50277,892.293,10000000
50278,891.456,10000000
50279,890.516,10000000
50280,891.119,10000000
50281,892.093,10000000
50282,891.267,10000000
50283,891.987,10000000
50284,890.713,10000000
50285,891.084,10000000
50286,890.441,10000000
50287,892.105,10000000
50288,890.719,10000000
50289,890.846,10000000
50290,882.054,10000000
50291,870.462,10000000
50292,878.847,10000000
50293,886.474,10000000
50294,880.512,10000000
50295,886.352,10000000
50296,890.179,10000000
50297,891.961,10000000
50298,892.699,10000000
50299,892.267,10000000
50300,891.617,10000000
50301,891.296,10000000
50302,891.389,10000000
50303,891.762,10000000
50304,891.995,10000000
50305,891.656,10000000
50306,891.925,10000000
50307,891.489,10000000
50308,892.062,10000000
50309,892.014,10000000
50310,892.915,10000000
50311,892.458,10000000
50312,892.554,10000000
50313,892.908,10000000
50314,892.166,10000000
50315,891.317,10000000
50316,892.513,10000000
50317,892.072,10000000
50318,892.275,10000000
50319,891.124,10000000
50320,891.265,10000000
50321,891.901,10000000
50322,892.062,10000000
50323,892.036,10000000
50324,891.999,10000000
50325,891.333,10000000
50326,891.876,10000000
50327,891.986,10000000
50328,893.229,10000000
50329,892.807,10000000
50330,892.957,10000000
50331,892.869,10000000
50332,892.636,10000000
50333,892.403,10000000
50334,891.836,10000000
50335,893.184,10000000
50336,891.900,10000000
50337,892.442,10000000
50338,893.440,10000000
50339,893.963,10000000
50340,892.298,10000000
50341,891.771,10000000
50342,890.998,10000000
50343,890.218,10000000
50344,880.477,10000000
50345,869.378,10000000
50346,878.967,10000000
50347,887.474,10000000
50348,887.912,10000000
50349,889.966,10000000
50350,890.019,10000000
50351,888.680,10000000
50352,889.911,10000000
50353,890.556,10000000
50354,891.924,10000000
50355,891.679,10000000
50356,891.541,10000000
50357,891.491,10000000
50358,890.744,10000000
50359,891.203,10000000
50360,891.348,10000000
50361,890.353,10000000
50362,891.470,10000000
50363,890.404,10000000
50364,890.228,10000000
50365,890.104,10000000
50366,889.645,10000000
50367,889.956,10000000
50368,890.748,10000000
50369,891.107,10000000
50370,891.419,10000000
50371,890.729,10000000
50372,890.673,10000000
50373,890.148,10000000
50374,889.329,10000000
50375,889.740,10000000
50376,890.170,10000000
50377,891.392,10000000
50378,890.960,10000000
50379,891.437,10000000
50380,892.670,10000000
50381,891.067,10000000
50382,891.636,10000000
50383,890.234,10000000
50384,891.141,10000000
50385,892.305,10000000
50386,891.964,10000000
50387,891.351,10000000
50388,891.620,10000000
50389,892.173,10000000
50390,892.093,10000000
50391,892.073,10000000
50392,892.104,10000000
50393,893.057,10000000
50394,892.630,10000000
50395,892.422,10000000
50396,891.908,10000000
50397,890.752,10000000
50398,879.395,10000000
50399,868.914,10000000
50400,880.168,10000000
50401,887.839,10000000
50402,890.970,10000000
50403,891.565,10000000
50404,892.677,10000000
50405,893.564,10000000
50406,894.625,10000000
50407,892.625,10000000
50408,892.506,10000000
50409,891.490,10000000
50410,891.044,10000000
50411,890.934,10000000
50412,891.091,10000000
50413,891.415,10000000
50414,892.254,10000000
50415,892.298,10000000
50416,892.469,10000000
50417,892.621,10000000
50418,892.493,10000000
50419,893.360,10000000
50420,893.340,10000000
50421,893.417,10000000
50422,892.706,10000000
50423,892.844,10000000
50424,892.648,10000000
50425,892.212,10000000
50426,890.901,10000000
50427,889.287,10000000
50428,889.825,10000000
50429,890.753,10000000
50430,891.832,10000000
50431,892.124,10000000
50432,891.739,10000000
50433,890.535,10000000
50434,890.466,10000000
50435,890.995,10000000
50436,892.572,10000000
50437,892.693,10000000
50438,892.964,10000000
50439,893.751,10000000
50440,894.490,10000000
