Log Start Time,2026-01-18T19:35:18
Delta uS,V Ch1,V Ch2, I, X, Y, Z, Temp, RTC Stamp
52096.0,-0.029,0.0,0.0000,-0.39,0.55,12.08,76,2026-01-18T19:35:45
44810.0,0.000,0.0,0.0000,-0.55,0.39,8.79,76,2026-01-18T19:35:45
128030.0,0.000,0.0,0.0000,0.31,0.08,11.92,76,2026-01-18T19:35:45
37324.0,-0.029,0.0,0.0000,0.00,0.71,8.71,76,2026-01-18T19:35:45
280448.0,0.029,0.0,0.0000,0.16,0.16,11.92,76,2026-01-18T19:35:46
35728.0,0.029,0.0,0.0000,0.16,0.00,8.87,76,2026-01-18T19:35:46
35864.0,0.000,0.0,0.0000,0.24,-0.16,9.10,76,2026-01-18T19:35:46
1001816.0,0.000,0.0,0.0000,0.16,0.00,9.49,76,2026-01-18T19:35:47
1001060.0,0.000,0.0,0.0000,-0.16,0.00,8.79,76,2026-01-18T19:35:48
1001368.0,0.000,0.0,0.0000,0.47,0.00,9.26,76,2026-01-18T19:35:49
1001158.0,0.000,0.0,0.0000,-0.16,0.08,9.02,76,2026-01-18T19:35:50
455134.0,0.000,0.0,0.0000,0.55,-0.71,12.08,76,2026-01-18T19:35:50
38824.0,0.000,0.0,0.0000,0.00,0.00,8.71,76,2026-01-18T19:35:50
45700.0,0.000,0.0,0.0000,-1.88,0.00,11.85,76,2026-01-18T19:35:50
56096.0,0.000,0.0,0.0000,0.94,0.00,8.79,76,2026-01-18T19:35:50
91832.0,0.000,0.0,0.0000,0.31,0.00,11.85,76,2026-01-18T19:35:51
38712.0,-0.029,0.0,0.0000,0.00,-0.16,8.71,76,2026-01-18T19:35:51
275756.0,0.000,0.0,0.0000,0.00,1.02,9.57,76,2026-01-18T19:35:51
