Log Start Time,2026-01-18T19:35:18
Delta uS,V Ch1,V Ch2, I, X, Y, Z, Temp, RTC Stamp
35531.0,0.000,0.0,0.0000,-2.59,-2.12,8.08,77,2026-01-18T19:35:32
52993.0,0.000,0.0,0.0000,1.49,-1.96,12.24,77,2026-01-18T19:35:32
34865.0,-0.029,0.0,0.0000,2.20,-1.18,8.71,77,2026-01-18T19:35:32
118553.0,-0.029,0.0,0.0000,0.00,0.16,9.18,77,2026-01-18T19:35:32
229169.0,0.029,0.0,0.0000,1.80,0.39,13.34,77,2026-01-18T19:35:32
1459.0,0.057,0.0,0.0000,2.12,3.92,10.90,77,2026-01-18T19:35:32
32845.0,0.000,0.0,0.0000,16.08,-4.71,24.09,77,2026-01-18T19:35:32
1469.0,-0.029,0.0,0.0000,11.85,-5.57,13.26,77,2026-01-18T19:35:32
1462.0,0.000,0.0,0.0000,11.06,-3.06,6.43,77,2026-01-18T19:35:32
33097.0,0.000,0.0,0.0000,0.00,2.28,18.12,77,2026-01-18T19:35:32
1471.0,0.000,0.0,0.0000,5.26,5.26,8.32,77,2026-01-18T19:35:32
1459.0,0.000,0.0,0.0000,-4.39,1.18,2.51,77,2026-01-18T19:35:32
33629.0,0.029,0.0,0.0000,-7.37,-2.28,20.63,77,2026-01-18T19:35:32
1476.0,0.000,0.0,0.0000,-3.61,-0.86,16.08,77,2026-01-18T19:35:32
1462.0,0.029,0.0,0.0000,-4.31,-0.71,12.79,77,2026-01-18T19:35:32
1459.0,-0.029,0.0,0.0000,-1.18,1.49,12.00,77,2026-01-18T19:35:32
36267.0,0.000,0.0,0.0000,-2.75,1.33,8.08,77,2026-01-18T19:35:32
124377.0,0.000,0.0,0.0000,-2.20,-1.18,11.53,77,2026-01-18T19:35:32
40462.0,0.000,0.0,0.0000,-2.51,1.33,8.39,77,2026-01-18T19:35:32
87255.0,0.000,0.0,0.0000,-1.65,1.10,11.77,77,2026-01-18T19:35:32
38491.0,0.000,0.0,0.0000,0.94,-0.16,8.24,77,2026-01-18T19:35:32
278656.0,-0.029,0.0,0.0000,0.08,-0.08,11.30,77,2026-01-18T19:35:33
34057.0,0.000,0.0,0.0000,0.00,-0.31,8.00,77,2026-01-18T19:35:33
32617.0,0.000,0.0,0.0000,0.16,0.00,8.94,77,2026-01-18T19:35:33
336915.0,-0.029,0.0,0.0000,0.16,-0.71,11.77,77,2026-01-18T19:35:33
48622.0,0.000,0.0,0.0000,-0.55,0.00,8.47,76,2026-01-18T19:35:33
251536.0,0.000,0.0,0.0000,-0.39,0.08,11.53,76,2026-01-18T19:35:33
36992.0,0.000,0.0,0.0000,-1.41,0.16,8.47,76,2026-01-18T19:35:33
38420.0,0.000,0.0,0.0000,-4.63,1.49,9.26,77,2026-01-18T19:35:33
58804.0,0.000,0.0,0.0000,-0.94,-0.63,9.18,76,2026-01-18T19:35:34
70474.0,0.029,0.0,0.0000,1.10,-0.24,6.04,76,2026-01-18T19:35:34
1458.0,0.000,0.0,0.0000,2.43,1.02,9.41,76,2026-01-18T19:35:34
158076.0,0.000,0.0,0.0000,0.00,0.00,8.79,76,2026-01-18T19:35:34
494914.0,-0.029,0.0,0.0000,0.39,1.80,13.89,76,2026-01-18T19:35:34
64670.0,-0.029,0.0,0.0000,7.69,7.69,6.20,77,2026-01-18T19:35:34
1468.0,-0.029,0.0,0.0000,1.41,-0.47,9.49,77,2026-01-18T19:35:34
1458.0,0.000,0.0,0.0000,0.55,-0.16,20.08,77,2026-01-18T19:35:34
1466.0,-0.029,0.0,0.0000,-0.24,-0.55,12.47,77,2026-01-18T19:35:34
1456.0,0.000,0.0,0.0000,1.41,-0.71,16.63,77,2026-01-18T19:35:34
69280.0,-0.057,0.0,0.0000,0.00,-0.16,12.40,76,2026-01-18T19:35:34
39912.0,0.000,0.0,0.0000,0.63,0.63,9.34,76,2026-01-18T19:35:34
227086.0,-0.029,0.0,0.0000,-0.47,0.86,5.41,76,2026-01-18T19:35:35
48650.0,0.000,0.0,0.0000,-0.47,0.94,8.87,76,2026-01-18T19:35:35
51524.0,-0.029,0.0,0.0000,-1.02,1.65,7.61,76,2026-01-18T19:35:35
32612.0,0.000,0.0,0.0000,-0.71,1.57,4.71,76,2026-01-18T19:35:35
32596.0,0.000,0.0,0.0000,-0.94,1.41,8.55,76,2026-01-18T19:35:35
98190.0,-0.029,0.0,0.0000,-0.24,1.26,5.41,76,2026-01-18T19:35:35
34060.0,0.000,0.0,0.0000,-0.08,-0.24,8.47,76,2026-01-18T19:35:35
392270.0,0.000,0.0,0.0000,0.31,0.63,12.47,76,2026-01-18T19:35:35
55064.0,0.000,0.0,0.0000,0.55,0.86,8.24,76,2026-01-18T19:35:35
42816.0,0.029,0.0,0.0000,0.00,1.02,11.30,76,2026-01-18T19:35:35
115608.0,0.000,0.0,0.0000,0.16,1.96,7.77,76,2026-01-18T19:35:36
67584.0,0.000,0.0,0.0000,0.31,0.24,10.83,76,2026-01-18T19:35:36
54460.0,0.000,0.0,0.0000,0.16,3.84,9.65,76,2026-01-18T19:35:36
76288.0,0.000,0.0,0.0000,0.00,1.33,8.94,76,2026-01-18T19:35:36
50088.0,0.000,0.0,0.0000,-0.16,0.94,4.47,76,2026-01-18T19:35:36
34096.0,-0.029,0.0,0.0000,0.00,1.57,8.08,76,2026-01-18T19:35:36
70108.0,0.029,0.0,0.0000,-0.63,1.57,4.94,76,2026-01-18T19:35:36
48648.0,0.000,0.0,0.0000,0.00,0.94,9.34,76,2026-01-18T19:35:36
115590.0,-0.029,0.0,0.0000,0.24,2.67,6.28,76,2026-01-18T19:35:36
32610.0,0.000,0.0,0.0000,1.18,2.20,3.14,76,2026-01-18T19:35:36
45724.0,0.000,0.0,0.0000,-1.02,-1.02,0.00,76,2026-01-18T19:35:36
74826.0,0.000,0.0,0.0000,-8.32,9.49,-7.06,76,2026-01-18T19:35:36
1462.0,-0.029,0.0,0.0000,1.65,-8.87,-9.73,76,2026-01-18T19:35:36
1460.0,-0.029,0.0,0.0000,-0.16,6.43,-3.37,76,2026-01-18T19:35:36
1460.0,0.000,0.0,0.0000,3.77,-1.10,6.12,76,2026-01-18T19:35:36
1460.0,0.000,0.0,0.0000,-1.80,-0.24,2.90,76,2026-01-18T19:35:36
67640.0,-0.143,0.0,0.0000,0.16,-1.10,2.43,76,2026-01-18T19:35:36
1470.0,-0.057,0.0,0.0000,1.18,5.73,2.51,76,2026-01-18T19:35:36
32848.0,-0.029,0.0,0.0000,11.61,-18.67,40.13,76,2026-01-18T19:35:36
1476.0,0.029,0.0,0.0000,-3.77,-6.20,40.13,76,2026-01-18T19:35:36
1462.0,0.000,0.0,0.0000,-22.36,-15.53,40.13,76,2026-01-18T19:35:36
1456.0,0.000,0.0,0.0000,-12.87,-22.52,40.13,76,2026-01-18T19:35:36
1460.0,0.000,0.0,0.0000,-17.34,-21.03,40.13,76,2026-01-18T19:35:36
1460.0,-0.029,0.0,0.0000,-3.14,-9.26,40.13,76,2026-01-18T19:35:36
70060.0,0.000,0.0,0.0000,-0.39,-5.57,15.14,76,2026-01-18T19:35:36
1472.0,0.000,0.0,0.0000,-1.96,-4.79,19.85,76,2026-01-18T19:35:36
32878.0,0.000,0.0,0.0000,-0.71,-0.24,13.42,76,2026-01-18T19:35:36
32626.0,0.000,0.0,0.0000,-5.02,0.00,15.38,76,2026-01-18T19:35:36
1470.0,-0.029,0.0,0.0000,-1.57,-3.77,13.65,76,2026-01-18T19:35:36
1470.0,-0.029,0.0,0.0000,-2.98,2.04,17.89,76,2026-01-18T19:35:36
1460.0,-0.029,0.0,0.0000,-4.16,0.86,11.53,76,2026-01-18T19:35:36
38148.0,0.000,0.0,0.0000,-0.47,-0.78,10.36,76,2026-01-18T19:35:37
235018.0,0.000,0.0,0.0000,-0.47,1.10,9.73,76,2026-01-18T19:35:37
169368.0,-0.029,0.0,0.0000,0.16,4.47,9.73,76,2026-01-18T19:35:37
140374.0,0.029,0.0,0.0000,-0.78,3.14,6.04,76,2026-01-18T19:35:37
34096.0,0.000,0.0,0.0000,-0.94,2.98,10.20,76,2026-01-18T19:35:37
105434.0,0.000,0.0,0.0000,-0.94,3.14,5.26,76,2026-01-18T19:35:37
1458.0,0.000,0.0,0.0000,-1.33,2.67,8.47,76,2026-01-18T19:35:37
266384.0,0.000,0.0,0.0000,-4.71,3.14,6.04,76,2026-01-18T19:35:37
44280.0,-0.029,0.0,0.0000,-1.26,1.88,7.53,76,2026-01-18T19:35:38
83618.0,-0.029,0.0,0.0000,-1.96,5.26,5.96,76,2026-01-18T19:35:38
32610.0,-0.029,0.0,0.0000,-4.08,1.65,9.81,76,2026-01-18T19:35:38
67588.0,-0.029,0.0,0.0000,-4.55,4.86,7.77,76,2026-01-18T19:35:38
38472.0,0.000,0.0,0.0000,-3.37,1.41,8.47,76,2026-01-18T19:35:38
32616.0,0.000,0.0,0.0000,-2.20,2.98,7.69,76,2026-01-18T19:35:38
47740.0,0.000,0.0,0.0000,-3.53,5.26,9.34,76,2026-01-18T19:35:38
48670.0,0.000,0.0,0.0000,-2.98,2.67,6.12,76,2026-01-18T19:35:38
35564.0,0.029,0.0,0.0000,-0.39,8.79,6.04,76,2026-01-18T19:35:38
1458.0,0.029,0.0,0.0000,-4.31,2.12,6.67,76,2026-01-18T19:35:38
46020.0,0.000,0.0,0.0000,-3.45,5.26,5.33,76,2026-01-18T19:35:38
32622.0,0.000,0.0,0.0000,-2.90,0.94,7.77,76,2026-01-18T19:35:38
39812.0,0.000,0.0,0.0000,-3.69,4.00,9.73,76,2026-01-18T19:35:38
121342.0,-0.029,0.0,0.0000,-3.69,3.77,6.28,76,2026-01-18T19:35:38
69438.0,-0.029,0.0,0.0000,-5.02,6.28,2.12,76,2026-01-18T19:35:38
1458.0,0.000,0.0,0.0000,-3.53,2.75,8.79,76,2026-01-18T19:35:38
51702.0,0.000,0.0,0.0000,-4.47,4.79,4.71,76,2026-01-18T19:35:38
39790.0,0.000,0.0,0.0000,-4.08,4.39,9.34,76,2026-01-18T19:35:38
74116.0,0.000,0.0,0.0000,-4.79,4.94,6.28,76,2026-01-18T19:35:38
80592.0,0.000,0.0,0.0000,-4.00,6.12,2.04,76,2026-01-18T19:35:38
33984.0,0.000,0.0,0.0000,-4.24,6.28,5.18,76,2026-01-18T19:35:39
40572.0,0.029,0.0,0.0000,-4.55,6.75,0.86,76,2026-01-18T19:35:39
35428.0,-0.029,0.0,0.0000,-4.63,6.98,4.31,76,2026-01-18T19:35:39
39814.0,0.000,0.0,0.0000,-5.02,7.61,0.24,76,2026-01-18T19:35:39
35404.0,-0.029,0.0,0.0000,-3.14,7.77,3.30,76,2026-01-18T19:35:39
82142.0,0.000,0.0,0.0000,-4.63,4.31,4.39,76,2026-01-18T19:35:39
42846.0,0.000,0.0,0.0000,-4.86,6.28,5.49,76,2026-01-18T19:35:39
83514.0,0.029,0.0,0.0000,-4.55,3.45,7.92,76,2026-01-18T19:35:39
172438.0,0.029,0.0,0.0000,-0.78,1.88,7.92,76,2026-01-18T19:35:39
34862.0,0.000,0.0,0.0000,-1.33,2.04,10.98,76,2026-01-18T19:35:39
32614.0,-0.029,0.0,0.0000,-1.57,6.28,8.39,76,2026-01-18T19:35:39
32618.0,0.000,0.0,0.0000,-1.41,1.96,9.57,76,2026-01-18T19:35:39
57244.0,0.000,0.0,0.0000,-1.88,5.18,8.08,76,2026-01-18T19:35:39
37152.0,0.029,0.0,0.0000,-0.94,2.04,8.55,76,2026-01-18T19:35:39
216260.0,0.000,0.0,0.0000,-2.12,3.06,12.55,76,2026-01-18T19:35:39
36084.0,0.000,0.0,0.0000,-2.12,2.75,9.41,76,2026-01-18T19:35:39
121936.0,-0.029,0.0,0.0000,-5.65,3.61,5.88,76,2026-01-18T19:35:40
1464.0,0.029,0.0,0.0000,-2.28,4.47,10.43,76,2026-01-18T19:35:40
1460.0,0.000,0.0,0.0000,-2.67,2.43,7.37,76,2026-01-18T19:35:40
174300.0,-0.029,0.0,0.0000,-1.57,2.51,8.71,76,2026-01-18T19:35:40
40446.0,0.000,0.0,0.0000,-3.84,-0.47,2.35,76,2026-01-18T19:35:40
1460.0,0.000,0.0,0.0000,-0.78,2.82,8.08,76,2026-01-18T19:35:40
43614.0,0.029,0.0,0.0000,3.84,1.80,8.79,76,2026-01-18T19:35:40
38972.0,0.029,0.0,0.0000,-2.51,-0.55,13.02,76,2026-01-18T19:35:40
91936.0,0.000,0.0,0.0000,2.43,1.41,8.94,76,2026-01-18T19:35:40
35776.0,0.029,0.0,0.0000,1.96,1.02,4.63,76,2026-01-18T19:35:40
35972.0,-0.029,0.0,0.0000,1.26,2.43,9.73,76,2026-01-18T19:35:40
89842.0,-0.029,0.0,0.0000,2.43,1.10,6.59,76,2026-01-18T19:35:40
40466.0,0.143,0.0,0.0000,2.35,2.04,8.94,76,2026-01-18T19:35:40
36080.0,0.000,0.0,0.0000,10.83,22.75,14.67,76,2026-01-18T19:35:40
1474.0,0.000,0.0,0.0000,3.84,-11.38,12.87,76,2026-01-18T19:35:40
1462.0,0.000,0.0,0.0000,11.38,20.16,4.31,76,2026-01-18T19:35:40
1464.0,0.000,0.0,0.0000,11.30,-18.99,0.47,76,2026-01-18T19:35:40
1458.0,0.000,0.0,0.0000,-2.12,-2.98,10.67,76,2026-01-18T19:35:40
1454.0,0.000,0.0,0.0000,-1.18,12.79,-5.33,76,2026-01-18T19:35:40
1460.0,0.000,0.0,0.0000,9.41,1.26,5.65,76,2026-01-18T19:35:40
1456.0,-0.029,0.0,0.0000,2.82,16.32,11.61,76,2026-01-18T19:35:40
1458.0,0.000,0.0,0.0000,-7.77,-8.71,19.85,76,2026-01-18T19:35:40
1458.0,0.000,0.0,0.0000,5.18,0.08,1.49,76,2026-01-18T19:35:40
1460.0,0.000,0.0,0.0000,-1.65,0.24,12.71,76,2026-01-18T19:35:40
36676.0,0.000,0.0,0.0000,1.57,2.35,7.92,76,2026-01-18T19:35:40
40110.0,0.000,0.0,0.0000,-2.43,-1.18,11.30,76,2026-01-18T19:35:40
1460.0,0.000,0.0,0.0000,1.80,2.12,8.16,76,2026-01-18T19:35:40
171170.0,0.000,0.0,0.0000,0.00,1.18,11.53,76,2026-01-18T19:35:41
111864.0,-0.029,0.0,0.0000,-1.02,0.16,8.16,76,2026-01-18T19:35:41
170080.0,0.000,0.0,0.0000,-0.63,-1.18,7.77,76,2026-01-18T19:35:41
53556.0,0.000,0.0,0.0000,0.00,-3.22,8.16,76,2026-01-18T19:35:41
92900.0,0.000,0.0,0.0000,0.00,-4.55,12.47,76,2026-01-18T19:35:41
36088.0,-0.029,0.0,0.0000,0.55,-2.90,9.10,76,2026-01-18T19:35:41
318490.0,-0.029,0.0,0.0000,0.31,-2.35,5.88,76,2026-01-18T19:35:41
94462.0,0.000,0.0,0.0000,0.08,-2.12,8.94,76,2026-01-18T19:35:41
121976.0,-0.029,0.0,0.0000,-1.26,-5.49,10.75,76,2026-01-18T19:35:42
1462.0,0.000,0.0,0.0000,2.98,-5.18,5.88,76,2026-01-18T19:35:42
36334.0,-0.029,0.0,0.0000,0.00,-1.73,8.71,76,2026-01-18T19:35:42
120412.0,0.000,0.0,0.0000,-0.24,-0.78,11.92,76,2026-01-18T19:35:42
44830.0,0.000,0.0,0.0000,-0.78,-1.10,8.79,76,2026-01-18T19:35:42
81076.0,0.000,0.0,0.0000,-0.86,-0.55,9.34,76,2026-01-18T19:35:42
129266.0,0.029,0.0,0.0000,-2.43,-1.18,13.81,76,2026-01-18T19:35:42
53564.0,0.000,0.0,0.0000,1.57,0.31,10.75,76,2026-01-18T19:35:42
98836.0,0.000,0.0,0.0000,1.49,-4.47,19.93,77,2026-01-18T19:35:42
1456.0,0.000,0.0,0.0000,2.04,-0.16,12.16,77,2026-01-18T19:35:42
84400.0,0.000,0.0,0.0000,-1.02,0.63,8.55,77,2026-01-18T19:35:42
121972.0,0.000,0.0,0.0000,-1.33,4.31,9.49,76,2026-01-18T19:35:42
36080.0,0.000,0.0,0.0000,-0.94,2.51,6.20,76,2026-01-18T19:35:42
85788.0,0.000,0.0,0.0000,-1.41,1.57,9.41,77,2026-01-18T19:35:42
175712.0,-0.029,0.0,0.0000,-1.65,2.12,5.96,76,2026-01-18T19:35:43
45386.0,0.000,0.0,0.0000,-1.10,0.94,9.96,76,2026-01-18T19:35:43
169230.0,0.000,0.0,0.0000,-1.10,0.24,8.55,76,2026-01-18T19:35:43
109402.0,-0.029,0.0,0.0000,-0.31,0.78,6.75,76,2026-01-18T19:35:43
56982.0,0.000,0.0,0.0000,-1.73,0.94,10.43,76,2026-01-18T19:35:43
51188.0,0.000,0.0,0.0000,-1.73,1.18,5.57,76,2026-01-18T19:35:43
118140.0,0.000,0.0,0.0000,0.78,0.55,2.51,76,2026-01-18T19:35:43
67498.0,0.000,0.0,0.0000,-1.10,-4.71,-2.28,76,2026-01-18T19:35:43
90142.0,0.000,0.0,0.0000,0.00,-0.39,0.31,76,2026-01-18T19:35:43
81090.0,0.029,0.0,0.0000,2.75,15.06,40.13,76,2026-01-18T19:35:43
1456.0,0.029,0.0,0.0000,13.81,10.04,40.13,76,2026-01-18T19:35:43
1458.0,-0.029,0.0,0.0000,-35.23,-40.17,-3.92,76,2026-01-18T19:35:43
1454.0,0.000,0.0,0.0000,15.06,-8.16,37.27,76,2026-01-18T19:35:43
1458.0,0.000,0.0,0.0000,38.21,-34.44,40.13,76,2026-01-18T19:35:43
1460.0,0.029,0.0,0.0000,40.13,13.81,40.13,76,2026-01-18T19:35:43
1458.0,0.000,0.0,0.0000,14.44,25.58,11.53,76,2026-01-18T19:35:43
1458.0,0.029,0.0,0.0000,-5.57,-19.53,40.13,76,2026-01-18T19:35:43
1458.0,-0.029,0.0,0.0000,5.81,40.13,40.13,76,2026-01-18T19:35:43
1464.0,0.000,0.0,0.0000,40.13,-7.85,40.13,76,2026-01-18T19:35:43
1458.0,0.000,0.0,0.0000,40.13,-40.17,24.16,76,2026-01-18T19:35:43
1464.0,-0.029,0.0,0.0000,-29.18,-40.17,40.13,76,2026-01-18T19:35:43
1456.0,0.000,0.0,0.0000,24.79,8.00,40.13,76,2026-01-18T19:35:43
1456.0,0.000,0.0,0.0000,9.65,-40.17,-40.17,76,2026-01-18T19:35:43
37254.0,0.029,0.0,0.0000,-6.98,14.36,10.04,76,2026-01-18T19:35:43
1476.0,0.000,0.0,0.0000,4.08,10.43,7.53,76,2026-01-18T19:35:43
1458.0,0.000,0.0,0.0000,0.31,16.63,13.89,76,2026-01-18T19:35:43
1460.0,-0.029,0.0,0.0000,-8.71,2.51,-6.98,76,2026-01-18T19:35:43
1460.0,0.000,0.0,0.0000,0.86,4.63,-3.92,76,2026-01-18T19:35:43
1460.0,0.029,0.0,0.0000,-5.10,6.75,5.96,76,2026-01-18T19:35:43
1460.0,-0.029,0.0,0.0000,0.78,3.53,4.55,76,2026-01-18T19:35:43
1456.0,0.000,0.0,0.0000,-1.65,6.28,10.51,76,2026-01-18T19:35:43
1458.0,-0.029,0.0,0.0000,-4.24,6.51,6.28,76,2026-01-18T19:35:43
37204.0,-0.029,0.0,0.0000,-3.37,-0.63,22.20,76,2026-01-18T19:35:43
1470.0,-0.029,0.0,0.0000,-3.37,0.08,18.99,76,2026-01-18T19:35:43
1464.0,-0.029,0.0,0.0000,-22.59,-8.16,3.22,76,2026-01-18T19:35:43
1456.0,-0.029,0.0,0.0000,-0.55,-7.53,19.69,76,2026-01-18T19:35:43
1460.0,-0.029,0.0,0.0000,-0.86,-14.98,17.02,76,2026-01-18T19:35:43
1456.0,0.000,0.0,0.0000,6.59,2.04,15.30,76,2026-01-18T19:35:43
