t_us,t_ms_from_toggle,rawDiff,diffV
1,-2.5090,-1,-0.002000
2507,-0.0030,309,0.618000
5009,2.4990,13,0.026000
7504,4.9940,8,0.016000
10004,7.4940,9,0.018000
12502,9.9920,9,0.018000
