t_us,t_ms_from_toggle,rawDiff,diffV
0,-2.5030,-1,-0.002000
2501,-0.0020,353,0.706000
5002,2.4990,18,0.036000
7497,4.9940,8,0.016000
9997,7.4940,8,0.016000
12492,9.9890,8,0.016000
14989,12.4860,8,0.016000
