t_us,t_ms_from_toggle,rawDiff,diffV
1,-2.5340,-1,-0.002000
2531,-0.0040,395,0.790000
5035,2.5000,24,0.048000
7530,4.9950,10,0.020000
10030,7.4950,10,0.020000
12525,9.9900,10,0.020000
