a5_V_10000000ohm,absdiff_V_10000000ohm,a5_V_1000000ohm,absdiff_V_1000000ohm,a5_V_330000ohm,absdiff_V_330000ohm,a5_V_10000ohm,absdiff_V_10000ohm,a5_V_1ohm,absdiff_V_1ohm
0.5882,0.2975,0.2832,0.0796,0.0011,0.0516,0.0052,0.0487,0.4189,0.0890
0.5918,0.2907,0.2854,0.0618,0.0011,0.0554,0.0052,0.0489,0.4191,0.1078
0.5925,0.2983,0.2895,0.0814,0.0013,0.0459,0.0052,0.0491,0.4230,0.1078
0.5972,0.2878,0.2916,0.0804,0.0016,0.0465,0.0054,0.0328,0.4278,0.0931
0.6008,0.3001,0.2927,0.0651,0.0016,0.0564,0.0054,0.0479,0.4285,0.1122
0.6012,0.2951,0.2931,0.0637,0.0017,0.0512,0.0054,0.0483,0.4294,0.1108
0.6056,0.3154,0.2940,0.0852,0.0019,0.0516,0.0055,0.0487,0.4296,0.0923
0.6091,0.2953,0.2947,0.0655,0.0022,0.0510,0.0055,0.0489,0.4319,0.0912
0.6098,0.3040,0.2959,0.0653,0.0028,0.0363,0.0056,0.0459,0.4378,0.0969
0.6135,0.3068,0.2963,0.0679,0.0029,0.0556,0.0056,0.0496,0.4378,0.1190
0.6231,0.3279,0.2963,0.0832,0.0029,0.0576,0.0056,0.0500,0.4391,0.1118
0.6234,0.3211,0.2968,0.0836,0.0032,0.0528,0.0056,0.0520,0.4402,0.1140
0.6255,0.3183,0.2969,0.0673,0.0032,0.0532,0.0060,0.0489,0.4414,0.0995
0.6290,0.3207,0.2971,0.0812,0.0032,0.0558,0.0064,0.0477,0.4423,0.1190
0.6359,0.3400,0.2988,0.0679,0.0032,0.0566,0.0064,0.0502,0.4461,0.1172
0.6386,0.3287,0.2992,0.0840,0.0033,0.0508,0.0068,0.0502,0.4464,0.1192
0.6426,0.3509,0.2995,0.0822,0.0034,0.0508,0.0070,0.0473,0.4484,0.1007
0.6442,0.3503,0.3002,0.0661,0.0039,0.0570,0.0070,0.0538,0.4494,0.1033
0.6541,0.3579,0.3011,0.0655,0.0041,0.0520,0.0071,0.0489,0.4502,0.0975
0.6559,0.3541,0.3011,0.0814,0.0048,0.0582,0.0072,0.0502,0.4512,0.1045
0.6579,0.3608,0.3017,0.0818,0.0052,0.0520,0.0081,0.0483,0.4533,0.1096
0.6600,0.3581,0.3023,0.0626,0.0055,0.0554,0.0085,0.0496,0.4564,0.1021
0.6658,0.3640,0.3023,0.0804,0.0056,0.0355,0.0088,0.0483,0.4580,0.1124
0.6676,0.3475,0.3024,0.0832,0.0057,0.0552,0.0088,0.0498,0.4582,0.1080
0.6741,0.3489,0.3062,0.0669,0.0062,0.0554,0.0097,0.0473,0.4585,0.1309
0.6759,0.3539,0.3074,0.0826,0.0063,0.0508,0.0097,0.0493,0.4598,0.1114
0.6799,0.3622,0.3110,0.0693,0.0063,0.0562,0.0105,0.0475,0.4602,0.1088
0.6851,0.3835,0.3117,0.0679,0.0064,0.0516,0.0105,0.0491,0.4622,0.1203
0.6925,0.3714,0.3118,0.0862,0.0064,0.0568,0.0107,0.0536,0.4643,0.1138
0.6936,0.3674,0.3122,0.0939,0.0072,0.0510,0.0109,0.0479,0.4653,0.1378
0.6990,0.3630,0.3137,0.0830,0.0072,0.0534,0.0112,0.0493,0.4657,0.1156
0.7066,0.3910,0.3178,0.0701,0.0072,0.0538,0.0113,0.0489,0.4659,0.1152
0.7099,0.3948,0.3182,0.0846,0.0081,0.0514,0.0195,0.0534,0.4673,0.1339
0.7100,0.3928,0.3189,0.0705,0.0081,0.0516,0.0692,0.0550,0.4678,0.1321
0.7156,0.3841,0.3234,0.0900,0.0088,0.0411,0.0748,0.0526,0.4705,0.1400
0.7167,0.3980,0.3253,0.0727,0.0090,0.0306,0.0880,0.0367,0.4741,0.1219
0.7234,0.4051,0.3258,0.0880,0.0096,0.0562,0.1011,0.0550,0.4752,0.1388
0.7244,0.3875,0.3259,0.0880,0.0097,0.0526,0.1035,0.0387,0.4755,0.1207
0.7319,0.4085,0.3305,0.0868,0.0097,0.0526,0.1039,0.0552,0.4766,0.1346
0.7357,0.4111,0.3323,0.0741,0.0101,0.0522,0.1040,0.0552,0.4769,0.1227
0.7372,0.4081,0.3377,0.0908,0.0105,0.0560,0.1041,0.0385,0.4827,0.1225
