# threshold_resistor_ohms,330000
a5_V,post_toggle_abs_diff_V
0.3563,0.0749
0.3575,0.0935
0.3623,0.0989
0.3628,0.0931
0.3639,0.0937
0.3646,0.0965
0.3649,0.0945
0.3652,0.0731
0.3654,0.0959
0.3659,0.0794
0.3662,0.0804
0.3662,0.0959
0.3702,0.0874
0.3744,0.0810
0.3762,0.0784
0.3778,0.0765
0.3804,0.1068
0.3808,0.0894
0.3810,0.1011
0.3819,0.0834
0.3821,0.0802
0.3841,0.0790
0.3846,0.1053
0.3887,0.0927
0.3887,0.1031
0.3894,0.0888
0.3915,0.0908
0.3940,0.1062
0.3973,0.1086
0.3977,0.0910
0.4011,0.1116
0.4033,0.0927
0.4071,0.0967
0.4086,0.0945
0.4113,0.1124
0.4116,0.0941
0.4116,0.1009
0.4121,0.1144
0.4137,0.1118
0.4212,0.1158
0.4214,0.0995
0.4225,0.1227
0.4252,0.1029
0.4285,0.1211
0.4290,0.1025
0.4291,0.1186
0.4292,0.1205
0.4298,0.1203
0.4335,0.1146
0.4344,0.1225
0.4364,0.1039
0.4374,0.1263
0.4376,0.1031
0.4376,0.1215
0.4410,0.1078
0.4431,0.1283
0.4461,0.1317
0.4462,0.1049
0.4472,0.1394
0.4473,0.1130
0.4491,0.1317
0.4514,0.1144
0.4515,0.1325
0.4518,0.1402
0.4541,0.1337
0.4552,0.1350
0.4560,0.1241
0.4567,0.1370
0.4573,0.1231
0.4622,0.1168
0.4624,0.1186
0.4640,0.1287
0.4649,0.1291
0.4652,0.1233
0.4665,0.1235
0.4670,0.1426
0.4687,0.1454
0.4691,0.1460
0.4715,0.1267
0.4716,0.1325
0.4751,0.1317
0.4757,0.1313
0.4758,0.1523
0.4787,0.1344
0.4822,0.1325
0.4823,0.1374
0.4826,0.1384
0.4849,0.1412
0.4886,0.1585
0.4889,0.1390
0.4897,0.1646
0.4899,0.1583
0.4902,0.1388
0.4941,0.1474
0.4951,0.1736
0.4957,0.1583
0.4972,0.1499
0.4972,0.1615
0.4976,0.1676
0.4991,0.1769
0.4996,0.1485
0.5001,0.1523
0.5013,0.1724
0.5015,0.1394
0.5039,0.1656
0.5047,0.1543
0.5051,0.1736
0.5059,0.1799
0.5069,0.1480
0.5078,0.1789
0.5082,0.1630
0.5096,0.1799
0.5096,0.1853
0.5128,0.1771
0.5134,0.1670
0.5184,0.1664
0.5223,0.1724
0.5234,0.1960
0.5239,0.1821
0.5252,0.1903
0.5261,0.1922
0.5274,0.2028
0.5300,0.1869
0.5319,0.1817
0.5333,0.2032
0.5355,0.1847
0.5355,0.1877
0.5360,0.1928
