# threshold_resistor_ohms,330000
a5_V,post_toggle_abs_diff_V
1.6991,0.5765
1.6992,0.5652
1.6993,0.5549
1.6995,0.5616
1.6996,0.5618
1.6996,0.5769
1.6997,0.5618
1.6997,0.5654
1.6997,0.5684
1.6998,0.5632
1.6999,0.5765
1.6999,0.5777
1.7000,0.5759
1.7000,0.5773
1.7000,0.5785
1.7001,0.5523
1.7001,0.5761
1.7003,0.5578
1.7003,0.5694
1.7004,0.5549
1.7004,0.5549
1.7004,0.5622
1.7004,0.5757
1.7005,0.5743
1.7006,0.5630
1.7006,0.5632
1.7007,0.5751
1.7007,0.5799
1.7008,0.5773
1.7009,0.5503
1.7009,0.5634
1.7010,0.5761
1.7012,0.5632
1.7012,0.5767
1.7012,0.5771
1.7013,0.5640
1.7013,0.5662
1.7013,0.5680
1.7014,0.5676
1.7015,0.5612
1.7017,0.5525
1.7017,0.5559
1.7017,0.5753
1.7017,0.5823
1.7018,0.5799
1.7019,0.5761
1.7020,0.5648
1.7020,0.5668
1.7021,0.5626
1.7021,0.5654
1.7021,0.5799
1.7022,0.5648
1.7022,0.5692
1.7023,0.5672
1.7024,0.5745
1.7025,0.5636
1.7025,0.5650
1.7025,0.5664
1.7025,0.5797
1.7027,0.5634
1.7027,0.5648
1.7027,0.5785
1.7028,0.5658
1.7028,0.5781
1.7029,0.5630
1.7029,0.5672
1.7029,0.5777
1.7029,0.5829
1.7030,0.5807
1.7030,0.5847
1.7031,0.5797
1.7031,0.5847
1.7033,0.5652
1.7033,0.5773
1.7037,0.5656
1.7037,0.5783
1.7037,0.5862
1.7038,0.5767
1.7039,0.5636
1.7039,0.5648
1.7041,0.5845
1.7043,0.5787
1.7045,0.5612
1.7046,0.5819
1.7050,0.5616
1.7051,0.5632
1.7055,0.5845
1.7056,0.5775
1.7067,0.5632
1.7073,0.5646
1.7087,0.5811
1.7131,0.5769
1.7137,0.5632
