t_us,t_ms_from_toggle,rawPos,rawNeg,posV,negV,diffV
2,-0.5370,11431,12495,2.302527,2.516847,-0.214320
43,-0.4960,11438,12509,2.303937,2.519667,-0.215730
84,-0.4550,11451,12511,2.306556,2.520070,-0.213514
125,-0.4140,11447,12512,2.305750,2.520271,-0.214521
166,-0.3730,11411,12475,2.298498,2.512818,-0.214320
207,-0.3320,11480,12397,2.312397,2.497107,-0.184710
248,-0.2910,11455,12475,2.307361,2.512818,-0.205457
289,-0.2500,11482,12411,2.312800,2.499927,-0.187127
330,-0.2090,11507,12419,2.317836,2.501538,-0.183703
371,-0.1680,11491,12426,2.314613,2.502948,-0.188335
412,-0.1270,11482,12439,2.312800,2.505567,-0.192767
453,-0.0860,11479,12465,2.312196,2.510804,-0.198608
495,-0.0440,11463,12487,2.308973,2.515235,-0.206263
536,-0.0030,1280,12406,0.257828,2.498920,-2.241091
580,0.0410,4458,12415,0.897967,2.500732,-1.602765
621,0.0820,6394,12415,1.287933,2.500732,-1.212800
662,0.1230,7674,12431,1.545761,2.503955,-0.958194
703,0.1640,8558,12442,1.723823,2.506171,-0.782348
744,0.2050,9197,12455,1.852536,2.508790,-0.656253
785,0.2460,9684,12463,1.950632,2.510401,-0.559769
827,0.2880,10057,12479,2.025765,2.513624,-0.487859
868,0.3290,10361,12491,2.086999,2.516041,-0.429042
909,0.3700,10609,12511,2.136953,2.520070,-0.383117
950,0.4110,10801,12515,2.175627,2.520875,-0.345248
991,0.4520,10885,12439,2.192547,2.505567,-0.313020
1035,0.4960,11007,12455,2.217121,2.508790,-0.291668
1076,0.5370,11130,12478,2.241897,2.513422,-0.271525
1117,0.5780,11217,12491,2.259421,2.516041,-0.256620
1158,0.6190,11302,12507,2.276543,2.519264,-0.242721
1199,0.6600,11357,12511,2.287621,2.520070,-0.232448
1240,0.7010,11381,12455,2.292456,2.508790,-0.216334
1282,0.7430,11327,12391,2.281578,2.495898,-0.214320
1323,0.7840,11354,12393,2.287017,2.496301,-0.209284
1364,0.8250,11367,12395,2.289636,2.496704,-0.207068
1405,0.8660,11415,12415,2.299304,2.500732,-0.201428
1446,0.9070,11439,12427,2.304138,2.503150,-0.199011
1487,0.9480,11467,12435,2.309778,2.504761,-0.194983
1528,0.9890,11489,12455,2.314210,2.508790,-0.194580
1569,1.0300,11507,12467,2.317836,2.511207,-0.193371
1611,1.0720,11535,12490,2.323476,2.515840,-0.192364
1652,1.1130,11551,12494,2.326698,2.516645,-0.189947
1693,1.1540,11563,12503,2.329116,2.518458,-0.189343
1734,1.1950,11579,12517,2.332338,2.521278,-0.188940
1775,1.2360,11592,12480,2.334957,2.513825,-0.178868
1816,1.2770,11584,12512,2.333346,2.520271,-0.186925
1857,1.3180,11561,12491,2.328713,2.516041,-0.187328
1898,1.3590,11455,12370,2.307361,2.491668,-0.184307
1940,1.4010,11478,12387,2.311994,2.495092,-0.183098
1981,1.4420,11494,12411,2.315217,2.499927,-0.184710
2022,1.4830,11497,12411,2.315821,2.499927,-0.184105
2063,1.5240,11507,12426,2.317836,2.502948,-0.185113
2104,1.5650,11519,12453,2.320253,2.508387,-0.188134
2145,1.6060,11549,12471,2.326296,2.512012,-0.185717
2186,1.6470,11562,12479,2.328914,2.513624,-0.184710
2227,1.6880,11575,12453,2.331533,2.508387,-0.176854
2268,1.7290,11495,12491,2.315418,2.516041,-0.200623
2309,1.7700,11605,12520,2.337576,2.521882,-0.184307
2350,1.8110,11600,12480,2.336568,2.513825,-0.177257
2391,1.8520,11584,12479,2.333346,2.513624,-0.180278
2433,1.8940,11583,12495,2.333144,2.516847,-0.183703
2474,1.9350,11471,12391,2.310584,2.495898,-0.185314
2515,1.9760,11487,12399,2.313807,2.497510,-0.183703
2556,2.0170,11509,12411,2.318238,2.499927,-0.181688
2597,2.0580,11531,12446,2.322670,2.506977,-0.184307
2638,2.0990,11551,12469,2.326698,2.511610,-0.184911
2679,2.1400,11566,12479,2.329720,2.513624,-0.183904
2720,2.1810,11579,12493,2.332338,2.516444,-0.184105
2762,2.2230,11594,12507,2.335360,2.519264,-0.183904
2803,2.2640,11599,12511,2.336367,2.520070,-0.183703
2844,2.3050,11601,12520,2.336770,2.521882,-0.185113
2885,2.3460,11608,12480,2.338180,2.513825,-0.175645
2926,2.3870,11563,12489,2.329116,2.515638,-0.186523
2967,2.4280,11547,12462,2.325893,2.510200,-0.184307
3011,2.4720,11567,12479,2.329921,2.513624,-0.183703
3052,2.5130,11571,12487,2.330727,2.515235,-0.184508
3093,2.5540,11579,12499,2.332338,2.517652,-0.185314
3134,2.5950,11589,12511,2.334353,2.520070,-0.185717
3175,2.6360,11603,12519,2.337173,2.521681,-0.184508
3217,2.6780,11605,12509,2.337576,2.519667,-0.182091
3258,2.7190,11547,12423,2.325893,2.502344,-0.176451
3299,2.7600,11468,12341,2.309980,2.485827,-0.175847
3340,2.8010,11471,12383,2.310584,2.494287,-0.183703
3381,2.8420,11483,12394,2.313001,2.496502,-0.183501
3422,2.8830,11493,12405,2.315016,2.498718,-0.183703
3463,2.9240,11503,12419,2.317030,2.501538,-0.184508
3504,2.9650,11513,12425,2.319044,2.502747,-0.183703
3546,3.0070,11517,12447,2.319850,2.507178,-0.187328
3587,3.0480,11538,12462,2.324080,2.510200,-0.186120
3628,3.0890,11563,12479,2.329116,2.513624,-0.184508
3669,3.1300,11581,12499,2.332741,2.517652,-0.184911
3710,3.1710,11583,12511,2.333144,2.520070,-0.186925
3751,3.2120,11598,12524,2.336166,2.522688,-0.186523
3792,3.2530,11584,12512,2.333346,2.520271,-0.186925
3833,3.2940,11584,12481,2.333346,2.514027,-0.180681
3875,3.3360,11543,12343,2.325087,2.486230,-0.161143
3916,3.3770,11471,12383,2.310584,2.494287,-0.183703
3957,3.4180,11483,12387,2.313001,2.495092,-0.182091
4001,3.4620,11566,12487,2.329720,2.515235,-0.185515
4042,3.5030,11582,12501,2.332943,2.518055,-0.185113
4083,3.5440,11599,12503,2.336367,2.518458,-0.182091
4124,3.5850,11607,12515,2.337978,2.520875,-0.182897
4165,3.6260,11623,12524,2.341201,2.522688,-0.181487
4206,3.6670,11616,12512,2.339791,2.520271,-0.180480
4247,3.7080,11598,12453,2.336166,2.508387,-0.172221
4288,3.7490,11518,12383,2.320051,2.494287,-0.174235
4329,3.7900,11509,12386,2.318238,2.494891,-0.176653
4371,3.8320,11518,12399,2.320051,2.497510,-0.177458
4412,3.8730,11519,12422,2.320253,2.502142,-0.181890
4453,3.9140,11541,12431,2.324684,2.503955,-0.179271
4494,3.9550,11555,12459,2.327504,2.509595,-0.182091
4535,3.9960,11579,12479,2.332338,2.513624,-0.181285
4576,4.0370,11595,12494,2.335561,2.516645,-0.181084
4617,4.0780,11607,12507,2.337978,2.519264,-0.181285
4658,4.1190,11621,12519,2.340798,2.521681,-0.180883
4700,4.1610,11630,12524,2.342611,2.522688,-0.180077
4741,4.2020,11616,12480,2.339791,2.513825,-0.174034
4782,4.2430,11593,12495,2.335158,2.516847,-0.181688
4823,4.2840,11487,12383,2.313807,2.494287,-0.180480
4864,4.3250,11503,12391,2.317030,2.495898,-0.178868
4905,4.3660,11513,12409,2.319044,2.499524,-0.180480
4946,4.4070,11518,12423,2.320051,2.502344,-0.182293
4987,4.4480,11597,12515,2.335964,2.520875,-0.184911
