t_us,t_ms_from_toggle,rawPos,rawNeg,posV,negV,diffV
2,-0.5370,11458,12520,2.307966,2.521882,-0.213917
43,-0.4960,11464,12528,2.309174,2.523494,-0.214320
84,-0.4550,11472,12469,2.310786,2.511610,-0.200824
125,-0.4140,11439,12357,2.304138,2.489050,-0.184911
166,-0.3730,11535,12375,2.323476,2.492675,-0.169200
207,-0.3320,11535,12387,2.323476,2.495092,-0.171617
248,-0.2910,11495,12487,2.315418,2.515235,-0.199817
289,-0.2500,11530,12415,2.322468,2.500732,-0.178264
330,-0.2090,11534,12439,2.323274,2.505567,-0.182293
371,-0.1680,11525,12467,2.321461,2.511207,-0.189745
412,-0.1270,11519,12479,2.320253,2.513624,-0.193371
454,-0.0850,11519,12495,2.320253,2.516847,-0.196594
495,-0.0440,11513,12506,2.319044,2.519062,-0.200018
536,-0.0030,1305,12425,0.262864,2.502747,-2.239883
580,0.0410,4573,12433,0.921132,2.504358,-1.583227
621,0.0820,6556,12447,1.320564,2.507178,-1.186614
662,0.1230,7868,12467,1.584838,2.511207,-0.926369
703,0.1640,8754,12479,1.763303,2.513624,-0.750320
744,0.2050,9394,12491,1.892218,2.516041,-0.623823
786,0.2470,9870,12495,1.988097,2.516847,-0.528749
827,0.2880,10242,12505,2.063029,2.518861,-0.455832
868,0.3290,10541,12519,2.123256,2.521681,-0.398425
909,0.3700,10776,12512,2.170591,2.520271,-0.349680
950,0.4110,10958,12520,2.207251,2.521882,-0.314631
991,0.4520,11039,12445,2.223567,2.506775,-0.283208
1035,0.4960,11151,12467,2.246127,2.511207,-0.265080
1076,0.5370,11252,12479,2.266471,2.513624,-0.247153
1117,0.5780,11334,12493,2.282988,2.516444,-0.233455
1158,0.6190,11399,12507,2.296081,2.519264,-0.223183
1199,0.6600,11454,12507,2.307160,2.519264,-0.212104
1241,0.7020,11463,12447,2.308973,2.507178,-0.198205
1282,0.7430,11413,12483,2.298901,2.514430,-0.215528
1323,0.7840,11552,12307,2.326900,2.478978,-0.152078
1364,0.8250,11423,12391,2.300916,2.495898,-0.194983
1405,0.8660,11455,12383,2.307361,2.494287,-0.186925
1446,0.9070,11479,12399,2.312196,2.497510,-0.185314
1487,0.9480,11495,12405,2.315418,2.498718,-0.183300
1528,0.9890,11509,12415,2.318238,2.500732,-0.182494
1570,1.0310,11525,12426,2.321461,2.502948,-0.181487
1611,1.0720,11541,12441,2.324684,2.505970,-0.181285
1652,1.1130,11556,12459,2.327706,2.509595,-0.181890
1693,1.1540,11575,12471,2.331533,2.512012,-0.180480
1734,1.1950,11588,12483,2.334151,2.514430,-0.180278
1775,1.2360,11603,12497,2.337173,2.517250,-0.180077
1816,1.2770,11615,12507,2.339590,2.519264,-0.179674
1857,1.3180,11621,12509,2.340798,2.519667,-0.178868
1899,1.3600,11635,12520,2.343618,2.521882,-0.178264
1940,1.4010,11648,12512,2.346237,2.520271,-0.174034
1981,1.4420,11567,12447,2.329921,2.507178,-0.177257
2025,1.4860,11583,12471,2.333144,2.512012,-0.178868
2066,1.5270,11613,12483,2.339187,2.514430,-0.175243
2107,1.5680,11618,12493,2.340194,2.516444,-0.176250
2148,1.6090,11625,12505,2.341604,2.518861,-0.177257
2189,1.6500,11637,12517,2.344021,2.521278,-0.177257
2230,1.6910,11635,12474,2.343618,2.512617,-0.168998
2271,1.7320,11557,12389,2.327907,2.495495,-0.167588
2312,1.7730,11507,12379,2.317836,2.493481,-0.175645
2354,1.8150,11513,12387,2.319044,2.495092,-0.176048
2395,1.8560,11519,12391,2.320253,2.495898,-0.175645
2436,1.8970,11532,12403,2.322871,2.498315,-0.175444
2477,1.9380,11542,12415,2.324886,2.500732,-0.175847
2518,1.9790,11557,12437,2.327907,2.505164,-0.177257
2559,2.0200,11573,12461,2.331130,2.509998,-0.178868
2600,2.0610,11589,12473,2.334353,2.512415,-0.178063
2641,2.1020,11599,12487,2.336367,2.515235,-0.178868
2683,2.1440,11613,12499,2.339187,2.517652,-0.178465
2724,2.1850,11619,12499,2.340396,2.517652,-0.177257
2765,2.2260,11622,12511,2.341000,2.520070,-0.179070
2806,2.2670,11634,12520,2.343417,2.521882,-0.178465
2847,2.3080,11632,12512,2.343014,2.520271,-0.177257
2888,2.3490,11648,12480,2.346237,2.513825,-0.167588
2929,2.3900,11571,12447,2.330727,2.507178,-0.176451
2970,2.4310,11503,12471,2.317030,2.512012,-0.194983
3014,2.4750,11593,12479,2.335158,2.513624,-0.178465
3055,2.5160,11611,12501,2.338784,2.518055,-0.179271
3096,2.5570,11623,12511,2.341201,2.520070,-0.178868
3138,2.5990,11623,12511,2.341201,2.520070,-0.178868
3179,2.6400,11629,12512,2.342410,2.520271,-0.177861
3220,2.6810,11632,12507,2.343014,2.519264,-0.176250
3261,2.7220,11575,12419,2.331533,2.501538,-0.170005
3302,2.7630,11540,12371,2.324483,2.491870,-0.167387
3343,2.8040,11511,12394,2.318641,2.496502,-0.177861
3384,2.8450,11527,12403,2.321864,2.498315,-0.176451
3425,2.8860,11530,12407,2.322468,2.499121,-0.176653
3466,2.9270,11539,12419,2.324281,2.501538,-0.177257
3508,2.9690,11559,12431,2.328310,2.503955,-0.175645
3549,3.0100,11577,12446,2.331936,2.506977,-0.175041
3590,3.0510,11597,12471,2.335964,2.512012,-0.176048
3631,3.0920,11615,12479,2.339590,2.513624,-0.174034
3672,3.1330,11631,12495,2.342813,2.516847,-0.174034
3713,3.1740,11647,12510,2.346036,2.519868,-0.173833
3754,3.2150,11655,12511,2.347647,2.520070,-0.172423
3795,3.2560,11661,12520,2.348856,2.521882,-0.173027
3837,3.2980,11664,12512,2.349460,2.520271,-0.170811
3878,3.3390,11664,12479,2.349460,2.513624,-0.164164
3919,3.3800,11635,12317,2.343618,2.480992,-0.137374
3960,3.4210,11519,12377,2.320253,2.493078,-0.172825
4002,3.4630,11579,12442,2.332338,2.506171,-0.173833
4043,3.5040,11593,12453,2.335158,2.508387,-0.173228
4085,3.5460,11603,12467,2.337173,2.511207,-0.174034
4126,3.5870,11602,12467,2.336971,2.511207,-0.174235
4167,3.6280,11614,12475,2.339388,2.512818,-0.173430
4208,3.6690,11623,12487,2.341201,2.515235,-0.174034
4249,3.7100,11583,12399,2.333144,2.497510,-0.164366
4290,3.7510,11664,12511,2.349460,2.520070,-0.170610
4331,3.7920,11647,12520,2.346036,2.521882,-0.175847
4372,3.8330,11648,12480,2.346237,2.513825,-0.167588
4413,3.8740,11607,12489,2.337978,2.515638,-0.177660
4455,3.9160,11503,12351,2.317030,2.487841,-0.170811
4496,3.9570,11501,12383,2.316627,2.494287,-0.177660
4537,3.9980,11513,12394,2.319044,2.496502,-0.177458
4578,4.0390,11518,12403,2.320051,2.498315,-0.178264
4619,4.0800,11519,12411,2.320253,2.499927,-0.179674
4660,4.1210,11534,12423,2.323274,2.502344,-0.179070
4701,4.1620,11543,12435,2.325087,2.504761,-0.179674
4742,4.2030,11551,12443,2.326698,2.506372,-0.179674
4784,4.2450,11555,12455,2.327504,2.508790,-0.181285
4825,4.2860,11572,12465,2.330928,2.510804,-0.179875
4866,4.3270,11583,12479,2.333144,2.513624,-0.180480
4907,4.3680,11599,12491,2.336367,2.516041,-0.179674
4948,4.4090,11603,12495,2.337173,2.516847,-0.179674
4989,4.4500,11526,12407,2.321663,2.499121,-0.177458
