t_us,t_ms_from_toggle,rawPos,rawNeg,posV,negV,diffV
4412,3.8730,6184,6190,1.245633,1.246841,-0.001209
4453,3.9140,6224,6303,1.253690,1.269603,-0.015913
4494,3.9550,6248,6250,1.258524,1.258927,-0.000403
4535,3.9960,6222,6230,1.253287,1.254898,-0.001611
4576,4.0370,6204,6219,1.249661,1.252683,-0.003021
4617,4.0780,6188,6199,1.246438,1.248654,-0.002216
4658,4.1190,6165,6303,1.241806,1.269603,-0.027797
4700,4.1610,6249,6257,1.258726,1.260337,-0.001611
4741,4.2020,6232,6242,1.255301,1.257316,-0.002014
4782,4.2430,6213,6228,1.251474,1.254496,-0.003021
4823,4.2840,6194,6208,1.247647,1.250467,-0.002820
4864,4.3250,6176,6264,1.244021,1.261747,-0.017726
4905,4.3660,6200,6193,1.248856,1.247446,0.001410
4946,4.4070,6248,6257,1.258524,1.260337,-0.001813
4987,4.4480,6164,6318,1.241604,1.272624,-0.031020
